,description,headline,url,provider,date
0,USDA <b>Recalls</b> Raw Ground Turkey Over Dangerous Salmonella Outbreak Health-care providers should order specific tests for patients to make sure they are treated with the appropriate antibiotic. The <b>recall</b> affects four different types of Jennie-O turkey ...,Why <b>Mercedes</b> is now F1&#39;s fifth-greatest team - F1,http://techkenyot.com/2018/11/16/why-mercedes-is-now-f1s-fifth-greatest-team-f1/,techkenyot.com,2018-11-17T15:16:00.0000000Z
1,"We imagine that it will also help to cut down substantially on <b>recall</b> efforts, should it be required, by tracking which cars certain affected parts end up in. <b>Mercedes</b> is also committing to making the plant run as green as possible, touting that its goal ...",<b>Mercedes</b>-Benz Previews Its Highly Automated and Fully Connected Vehicle Factory,http://www.thedrive.com/news/24947/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory,The Drive,2018-11-17T09:55:00.0000000Z
2,"Other automakers, including Audi and Volkswagen, Fiat Chrysler Automobiles, General Motors, and <b>Mercedes</b>-Benz have issued <b>recalls</b> for the same issue. Honda says it is not aware of any crashes or injuries related to this issue. Vehicles involved ...","Honda <b>Recalls</b> 64,000 SUVs and Minivans for Brake Issue",https://www.yahoo.com/news/honda-recalls-64-000-suvs-minivans-brake-issue-001537595.html,YAHOO!,2018-11-17T00:55:00.0000000Z
3,&quot;Shahs of Sunset&quot; star <b>Mercedes</b> &quot;MJ&quot; Javid doesn&#39;t have fond ... noting that an In Touch reporter had asked her to <b>recall</b> a &quot;negative run-in with a celebrity&quot; and Milano was the first person ...,&#39;Shahs of Sunset&#39; Star <b>Mercedes</b> Javid Says This Actress Was &#39;Snobby&#39; to Her,http://toofab.com/2018/11/16/shahs-of-sunset-mercedes-javid-mj-exclusive/,TooFab,2018-11-16T21:51:00.0000000Z
4,"We imagine that it will also help to cut down substantially on <b>recall</b> efforts, should it be required, by tracking which cars certain affected parts end up in. <b>Mercedes</b> is also committing to making the plant run as green as possible, touting that its goal ...",<b>Mercedes</b> Previews its Upcoming Fully-Connected and Futuristic Production Factory,https://www.msn.com/en-us/autos/car-tech/mercedes-previews-its-upcoming-fully-connected-and-futuristic-production-factory/ar-BBPMmZf,The Drive,2018-11-16T13:47:00.0000000Z
5,"<b>Mercedes</b>-Benz USA (MBUSA) is recalling 119 model year 2019 <b>Mercedes</b>-Benz C300s, C300 4Matics, C300 4Matic Cabrios, C300 4Matic Coupes, C300 Coupes, C300 Cabrios, C43 AMGs, C43 AMG Cabrios, C43 AMG Coupes, CLS450s, CLS450 4Matics, CLS53 AMG 4Matics, E53 AMG ...",<b>Mercedes</b>-Benz <b>recalls</b> model year 2019 vehicles with powertrain issue,https://www.consumeraffairs.com/news/mercedes-benz-recalls-model-year-2019-vehicles-with-powertrain-issue-111618.html,ConsumerAffairs,2018-11-16T13:04:00.0000000Z
6,"Wolff said this was evidence that &quot;many other cars&quot; besides <b>Mercedes</b> have had tyre <b>problems</b> lately. &quot;Sebastian was struggling tremendously on the tyres, Kimi [Raikkonen] was a little bit better ...",<b>Mercedes</b> F1 wheel design row &#39;settled&#39; but design still not used,https://uk.sports.yahoo.com/news/mercedes-f1-wheel-design-row-104421748.html,Yahoo Sports,2018-11-15T11:08:00.0000000Z
7,"Welcome to our website, we try to bring you relevant images to what you are looking for about &quot;2006 <b>Mercedes</b> R350 <b>Problems</b>&quot;. Therefore we present the picture gallery below. Hopefully what you are looking for can be found below. This image is the best image ...",2006 <b>Mercedes</b> R350 <b>Problems</b>,http://www.ctialatest.org/2006/2006-mercedes-r350-problems,ctialatest.org,2018-11-02T08:05:00.0000000Z
8,<b>Mercedes</b>-Benz USA is alleged to have dragged its heels on mailing <b>recall</b> notes to the owners of 1.4 million vehicles in the U.S. The National Highway Traffic Safety Administration said it found after an extensive review the German automaker has been ...,NHTSA Investigating <b>Mercedes’ Recall</b> Protocols,http://www.thedetroitbureau.com/2018/10/nhtsa-investigating-mercedes-recall-protocols/,TheDetroitBureau,2018-10-30T21:35:00.0000000Z
9,<b>Mercedes</b>-Benz USA is under investigation by U.S. safety regulators who say the brand may be taking too long to send safety <b>recall</b> notices to car owners and inform the government. NHTSA told the Daimler AG unit that it found numerous instances in which ...,<b>Mercedes</b> faces U.S. probe of <b>recall</b>-notice practices,http://www.autonews.com/article/20181029/OEM11/181029727/mercedes-us-recall-probe,Automotive News,2018-10-29T11:39:00.0000000Z
10,(Reuters) - The National Highway Traffic Safety Association (NHTSA) said it has opened an investigation into <b>Mercedes</b>-Benz USA’s compliance with federal laws and execution lapses over 1.4 million safety <b>recalls</b> in the past 18 months. A review showed that ...,U.S. regulator probes <b>Mercedes</b>-Benz USA&#39;s recent safety <b>recalls</b>,https://uk.reuters.com/article/uk-daimler-mercedes-recall-probe/u-s-regulator-probes-mercedes-benz-usas-recent-safety-recalls-idUKKCN1N30HH,Reuters,2018-10-29T05:46:00.0000000Z
11,Federal regulators are investigating <b>Mercedes</b>-Benz over whether it was too slow to mail out notices for a <b>recall</b> of 1.4 million cars in 2017. The National Highway Traffic Safety Administration sent the German carmaker a 14-page letter asking it to explain ...,<b>Mercedes</b>-Benz sent <b>recall</b> notices too late: feds,https://nypost.com/2018/10/28/mercedes-benz-sent-recall-notices-too-late-feds/,New York Post,2018-10-29T02:43:00.0000000Z
