,description,headline,url,provider,date
0,"Texas and <b>Mercedes</b> Benz Stadium in Atlanta. For his 2019 Songs for the Saints Tour, Chesney will take a slightly different tack and stick predominantly to smaller venues — for Chesney, anyway — in early spring. Launching <b>April</b> 4th at the KFC Yum!",Kenny Chesney Details 2019 Songs for the Saints Tour,https://www.msn.com/en-us/music/news/kenny-chesney-details-2019-songs-for-the-saints-tour/ar-BBPMr3g,Rolling Stone,2018-11-16T15:43:00.0000000Z
1,"At WrestleMania 34 in <b>April</b> at the <b>Mercedes</b>-Benz Superdome, World Wrestling Entertainment put on a show that saw the women’s evolution take center stage, including the debut of Ronda Rousey, Daniel Bryan return after a nearly three-year absence and ...",WrestleMania 34 generates $175 million in economic impact for New Orleans,https://www.nola.com/entertainment/2018/11/wrestlemania-34-generates-175-million-in-economic-impact.html,NOLA.com,2018-11-12T17:41:00.0000000Z
2,"WrestleMania 34 was said to have brought in the big bucks. The 34th annual WrestleMania spectacle was held on <b>April</b> 8th of this year inside of The <b>Mercedes</b>-Benz Superdome in New Orleans, Louisiana. The match card consisted of a then-dream match between AJ ...",WM 34 Generates $175 Million in Economic Impact in New Orleans,https://allwrestling.com/news/120669/wm-34-generates-$175-million/,All Wrestling,2018-11-12T15:47:00.0000000Z
3,"A record crowd of 78,133 fans from all 50 states and 67 countries attended WWE’s pop-culture extravaganza this past <b>April</b>, making it the highest-grossing entertainment event in the history of the <b>Mercedes</b>-Benz Superdome. Key highlights from the study ...",WrestleMania® Generates $175 Million for New Orleans,http://www.thederrick.com/news/entertainment/wrestlemania-generates-million-for-new-orleans/article_3c211c3c-f38c-5d11-8c50-b72f7e8d760c.html,TheDerrick.com,2018-11-12T14:48:00.0000000Z
4,"<b>Mercedes</b> has been playing a lot of hide-and-seek with their ... It’s lightened a little bit, but it’s more of a track day version for fun on circuits”, said Moers back in <b>April</b>. The more track-focused version of the GT R will be subjected to a ...",<b>Mercedes</b>-AMG GT “Club Sport” Looks Ready To Devour Your Favorite Track,https://www.carscoops.com/2018/11/mercedes-amg-gt-club-sport-looks-ready-devour-favorite-track/,Carscoops,2018-11-12T14:02:00.0000000Z
5,"Volkswagen and <b>Mercedes</b>-Benz have each agreed to spend up to $3,430 in ... the latter two of which were required to institute such bans by next <b>April</b> according to a court order that came on Thursday. READ THIS: Why Did Volkswagen Cheat On Diesel Emissions ...","VW, <b>Mercedes</b>-Benz agree to fix diesels in Germany",https://www.greencarreports.com/news/1119828_vw-mercedes-benz-agree-to-fix-diesels-in-germany,Green Car Reports,2018-11-12T14:01:00.0000000Z
6,"<b>Mercedes</b> &quot;MJ&quot; Javid and Tommy Feight tied the knot on <b>April</b> 21, and we finally got the see the big day for ourselves in the Season 7 finale of Shahs of Sunset Thursday night. Just like every Shahs shindig, these nuptials did not disappoint. There was glitz ...",We Bet You Can&#39;t Guess <b>Mercedes</b> &quot;MJ&quot; Javid&#39;s Favorite Moment of Her Wedding,http://www.bravotv.com/the-daily-dish/mercedes-mj-javid-tommy-feight-wedding-shahs-of-sunset-photos-video,Bravo,2018-11-09T18:12:00.0000000Z
7,"<b>Mercedes</b> “MJ” Javid and Tommy Feight’s wedding will finally air on the Thursday, November 8, season 7 finale of Shahs of Sunset, but that doesn’t mean it went off without a hitch! During the ceremony at Jeremy West Hollywood on Saturday ...",‘Shahs of Sunset’ Finale Sneak Peek: MJ Javid Makes Tommy Feight Wait at the Altar for an Hour,https://www.usmagazine.com/entertainment/news/mj-javid-leaves-tommy-feight-waiting-at-the-altar-on-shahs-of-sunset/,Us Weekly,2018-11-08T19:06:00.0000000Z
8,WWE Hall of Famer Kurt Angle has some history with current WWE RAW Women’s Champion Ronda Rousey as he teamed up with the former UFC Women’s Bantamweight Champion to take on Triple H and Stephanie McMahon at WrestleMania 34 in a Mixed Tag Team Match ...,Kurt Angle Believes Ronda Rousey’s Career In WWE Could Be Bigger Than UFC,https://www.sescoops.com/kurt-angle-believes-ronda-rouseys-career-in-wwe-could-be-bigger-than-ufc/,SEScoops,2018-11-08T18:00:00.0000000Z
9,"<b>MERCEDES</b> is scheduled to be sentenced on <b>April</b> 9, 2018, before Judge Karas. Mr. Berman praised the outstanding work of the Drug Enforcement Administration’s Westchester Resident Office and the Narcotics Unit of the City of Yonkers Police Department.","New York News: Heroin Supplier, LEIBYS <b>MERCEDES</b> Convicted After Jury Trial In White Plains Federal Court",https://www.stl.news/new-york-news-heroin-supplier-leibys-mercedes-convicted-after-jury-trial-in-white-plains-federal-court/205882/,stl.news,2018-11-08T00:29:00.0000000Z
