,description,headline,url,provider,date
0,"Drove <b>Mercedes</b> while disqualified and without insurance ... Stapleton Road, Eastville, Bristol. Age: 48. Application for <b>domestic</b> violence protection order granted. Jamie Rossiter. Abbotsford Road, Cotham, Bristol. Age: 39. At Sea Mills made contact ...","TK Maxx thefts, drugs and <b>Mercedes</b> drink-drivers - everyone sentenced at Magistrates&#39; court this week",https://www.bristolpost.co.uk/news/bristol-news/tk-maxx-drugs-mercedes-magistrates-2220431,Bristol Post,2018-11-17T21:02:00.0000000Z
1,"In Germany, <b>Mercedes</b>-Benz delivered 29,203 cars with the star last month (+16.7%). The new A-Class was especially popular with a strong sales growth in the <b>domestic</b> market of 86.7% in October. Among others, in France, Spain, Belgium, Switzerland ...",<b>Mercedes</b>-Benz Begins Fourth Quarter with new Sales Record,https://www.thisdaylive.com/index.php/2018/11/17/mercedes-benz-begins-fourth-quarter-with-new-sales-record/,This Day,2018-11-16T23:06:00.0000000Z
2,"<b>Mercedes</b> has enjoyed strong reliability this season with Hamilton ... The little-used circuit has since hosted a number of <b>domestic</b> championship races, and been used by auto manufacturers for track days, but is widely seen as an expensive &quot;white elephant&quot;.",<b>Mercedes</b> boss Toto Wolff defends Lewis Hamilton&#39;s comments on Indian GP,http://iphonefresh.com/2018/11/16/mercedes-boss-toto-wolff-defends-lewis-hamiltons-comments.html,iphonefresh.com,2018-11-16T17:35:00.0000000Z
3,"Popular luxury brands are also represent with models from BMW, <b>Mercedes</b>, Lexus ... The sales in <b>domestic</b> market are expected to grow at high rate as compared to export sales between 2017 and ...",UAE Used Car Transaction Value is Expected to Grow at CAGR of 10% From 2017-2022: Ken Research,https://finance.yahoo.com/news/uae-used-car-transaction-value-141000050.html,Yahoo Finance,2018-11-14T14:17:00.0000000Z
4,"For Euro5 petrol, we expect to produce it fully by 2025, however, this would depend on government approval through the Ministry of <b>Domestic</b> Trade and Consumer ... that is being used by the successful <b>Mercedes</b>-AMG Petronas Formula 1 team,&quot; he added.",Petronas refinery to boost Euro5 diesel output for <b>domestic</b> use,https://www.carsifu.my/news/petronas-refinery-to-boost-euro5-diesel-output,CarSifu,2018-11-13T11:14:00.0000000Z
5,"And the folks at <b>Mercedes</b> claim that It takes five hours to charge it at a conventional <b>domestic</b> power socket. Priced at 47,700 pounds (Rs 44.83 lakh) in the UK, the new E 300 DE is still cheaper than the diesel-powered E Class sold in India, which starts ...",<b>Mercedes</b>-Benz E Class Gets Diesel Hybrid Powerplant,https://www.outlookindia.com/website/story/mercedes-benz-e-class-gets-diesel-hybrid-powerplant/320067,outlookindia.com,2018-11-13T10:48:00.0000000Z
6,"to compete better with the likes of BMW and <b>Mercedes</b>, and the XTS full-size sedan (to appeal to Cadillac loyalists). This helped drive a 22% surge in <b>domestic</b> deliveries in 2013, to a recent peak ...",Cadillac May Be Ready to Make a Comeback,https://finance.yahoo.com/news/cadillac-may-ready-comeback-170500101.html,Yahoo Finance,2018-11-11T17:12:00.0000000Z
7,"Trefor Moss, WSJ, &quot;Ford Sales Plummet in China, and New Tariff Hit Is Yet to Come,&quot; 11 July 2018 Daimler AG is spending 655 million euros ($764 million) to make <b>Mercedes</b> EVs with a <b>domestic partner</b>. — Bloomberg.com, &quot;Jaguar Land Rover Promises a Made-in ...",Definition of <b>domestic partner</b>,https://www.merriam-webster.com/dictionary/domestic%20partner,Merriam-Webster,2018-11-09T00:00:00.0000000Z
8,"South Korea and Japan can’t get enough of BMW, China appears to have a love affair with Tesla, and the UK was most curious about <b>Mercedes</b>-Benz. Germany, France, and Sweden were the only countries that stuck with their <b>domestic</b> brands, favoring <b>Mercedes</b> ...",Here Are The Most Googled Car Brands In Each Country,http://www.autotribute.com/50091/most-googled-car-brands-for-each-country/,AutoTribute,2018-11-06T07:39:00.0000000Z
9,"Every <b>domestic</b> automaker landed in the bottom-half of CR’s latest ... Three other brands, Porsche, Volkswagen, and <b>Mercedes</b>-Benz, finished midpack. Volvo finished last overall. While the Tesla Model S appears very similar physically to the car that ...",Consumer Reports annual auto reliability survey: Tesla and other <b>domestic</b> brands take big steps backwards in rankings,http://chathamjournal.com/2018/10/25/consumer-reports-annual-auto-reliability-survey/,Chatham Journal Newspaper,2018-10-25T19:23:00.0000000Z
10,Upon arrival at Melbourne Airport customers will be collected from the <b>Domestic</b> or International terminals by a <b>Mercedes</b>-Benz valet driver and conveyed to <b>Mercedes</b>-Benz Melbourne Airport for collection of their vehicle. This new collaboration will be ...,Collaborate Corporation Ltd (ASX:CL8) DriveMyCar to Launch Premium Rentals with <b>Mercedes</b>-Benz,https://menafn.com/1097589417/Collaborate-Corporation-Ltd-ASXCL8-DriveMyCar-to-Launch-Premium-Rentals-with-MercedesBenz,MENAFN,2018-10-19T09:02:00.0000000Z
11,"The car can be ordered in Germany and is priced at €96,065. In simple conversion, the <b>Mercedes</b> S560e will cost $110,000, but that’s because of Germany’s high tax slab. The <b>domestic</b> price of the car will be equivalent to the S450 4Matic sedan which ...",<b>Mercedes</b> Launches The S560e Plug-in Hybrid,https://www.topspeed.com/cars/car-news/mercedes-launches-the-s560e-plug-in-hybrid-ar182953.html,Top Speed,2018-10-19T00:17:00.0000000Z
12,"<b>Mercedes</b>-Benz sold 91,609 vehicles in September (-9.4%) and a total of 688,956 units in the first nine months of the year (-4.7%). In Germany, the <b>domestic</b> market, <b>Mercedes</b>-Benz delivered 22,780 cars with the star last month (-16.7%) and 217,943 in the ...","<b>Mercedes</b>-Benz Sells Over 200,000 Vehicles Worldwide In September",https://www.msn.com/en-za/news/other/mercedes-benz-sells-over-200000-vehicles-worldwide-in-september/ar-BBOolSn,MSN,2018-10-14T23:40:00.0000000Z
13,"Tesla Inc. <b>domestic</b> sales are closing in on U.S. sales of storied luxury trio Lexus, BMW and <b>Mercedes</b>-Benz, and have zoomed past U.S. sales for Audi and Acura, among other car brands. That’s according to an analysis by Edmunds.com, which estimated Tesla ...",Tesla’s sales in the U.S. are gaining on BMW and other luxury car makers,https://www.marketwatch.com/story/teslas-sales-in-the-us-are-gaining-on-bmw-and-other-luxury-car-makers-2018-10-11,MarketWatch,2018-10-14T13:24:00.0000000Z
