,description,headline,url,provider,date
0,"<b>Production</b> of the Chevrolet Cavalier was winding down and ... The cuts resulted in a huge financial windfall for GM and other American corporations. And yet, <b>General</b> <b>Motors</b> won’t commit to the future of the Lordstown assembly complex.",Has GM bailed on the Valley?,http://www.vindy.com/news/2018/nov/18/has-gm-bailed-on-the-valley/,The Vindicator,2018-11-18T05:59:00.0000000Z
1,"It also features, price, <b>production</b>, and revenue ... Key companies profiled in this report are ZF, Getrag, Eaton, Volkswagen, <b>General</b> <b>Motors</b>, Hyundai, Gord, Fiat Powertrain Technologies (FPT) and others. Purchase a copy of this report at: https ...","Global Automotive DCT Industry Sales, Revenue, Gross Margin, Market Share, by Regions (2013-2025)",http://www.emailwire.com/release/974434-Global-Automotive-DCT-Industry-Sales-Revenue-Gross-Margin-Market-Share-by-Regions-20132025.html,emailwire.com,2018-11-17T16:29:00.0000000Z
2,"It also features, price, <b>production</b>, and revenue ... Key companies profiled in this report are ZF, Getrag, Eaton, Volkswage, , <b>General</b> <b>Motors</b>, Hyundai, Gord ,Fiat Powertrain Technologies (FPT) and others. Purchase a copy of this report at: https ...","Global Automotive Dual Clutch Transmission System Market by Manufacturers, Types, Regions and Application Research Report",http://www.emailwire.com/release/974435--Global-Automotive-Dual-Clutch-Transmission-System-Market-by-Manufacturers-Types-Regions-and-Application-Research-Report.html,emailwire.com,2018-11-17T16:29:00.0000000Z
3,"<b>General</b> <b>Motors</b>, Nissan and Mitsubishi already are selling mass-market ... It is converting three of its German plants from internal combustion to battery car <b>production</b> as it pivots away from diesel vehicles in the wake of its emissions scandal.",VW wants to storm car market with cheaper electric model,https://www.washingtontimes.com/news/2018/nov/16/vw-wants-to-storm-car-market-with-mass-market-elec/,The Washington Times,2018-11-17T00:55:00.0000000Z
4,"Coming out of <b>production</b> hell, Tesla’s Model 3 is ... including engineers who had worked on the Bolt. The Director of <b>General</b> <b>Motors</b> Urban Mobility Solutions, Hannah Parish said: “As an ...","Tesla, GM, Yamaha, &amp; Ducati All On The Electric Bike Bandwagon",https://cleantechnica.com/2018/11/16/tesla-gm-yamaha-ducati-all-on-the-electric-bike-bandwagon/,CleanTechnica,2018-11-16T22:44:00.0000000Z
5,It&#39;s a group effort to urge <b>General</b> <b>Motors</b> and let them know Lordstown has been a great ... The &quot;Bring It Home&quot; campaign nearly 20 years ago convinced GM to start <b>production</b> of the Cobalt here. The hope is that another unifying campaign could catch GM&#39;s ...,Lordstown urges GM: &#39;Nobody in this Valley wants a handout. We want work.&#39;,https://www.wkbn.com/news/local-news/lordstown-urges-gm-nobody-in-this-valley-wants-a-handout-we-want-work-/1602404254,WKBN 27 First News,2018-11-16T21:49:00.0000000Z
6,"More than 80 concept, demonstrator and/or test-fleet fuel-cell-powered electric vehicles have been fielded by 25 automakers worldwide since <b>General</b> <b>Motors</b> (Detroit ... Accordingly, SGL has increased SIGRACET <b>production</b> at its Meitingen facility.",The markets: Fuels cells and batteries (2019),https://www.compositesworld.com/articles/the-markets-fuels-cells-and-batteries-2016,CompositesWorld,2018-11-16T21:20:00.0000000Z
7,"That&#39;s a departure from many major manufacturers in the region, like the <b>General</b> <b>Motors</b> and Ford plants ... t specify how many of the Tesla jobs are <b>production</b> positions. They said the plant ...",Tesla offers glimpse inside Buffalo gigafactory,https://buffalonews.com/2018/11/16/tesla-offers-glimpse-inside-gigafactory/,The Buffalo News,2018-11-16T20:29:00.0000000Z
8,"However, with increasing investments towards new energy vehicle <b>production</b> and favorable government policies ... in the report are Renault-Nissan Alliance, Mitsubishi <b>Motors</b> Corporation, <b>General</b> <b>Motors</b> Company, Toyota Motor Corporation, Ford Motor Company ...",Analysis of New Energy Vehicles Industry Policy in China’s Cities from the Perspective of Policy instruments,http://www.tampabayreview.com/news/business/analysis-new-energy-vehicles-industry-policy-chinas-cities-perspective-policy-instruments/58143/,tampabayreview.com,2018-11-16T18:54:00.0000000Z
9,"The move comes as Tesla and <b>General</b> <b>Motors</b> are lobbying government officials to extend ... but the current stream of Model 3s will come from the company’s sole <b>production</b> source: the Fremont, California plant. Musk noted in a Twitter post that ...",Tesla Promises Model 3 Delivery by Dec. 31 to Meet Tax Deadline,http://www.thedetroitbureau.com/2018/11/tesla-promises-model-3-delivery-by-dec-31-to-meet-tax-deadline/,TheDetroitBureau,2018-11-16T16:55:00.0000000Z
10,"German peers Daimler AG and BMW AG have cut their outlook, while Toyota Motor Corp. and <b>General</b> <b>Motors</b> Co. reported strong results ... need to sign off on the plan to create global <b>production</b> capacity for 1 million electric vehicles by 2025 amid their ...","VW to spend $50.2 billion on electric, autonomous vehicles by 2023",http://www.autonews.com/article/20181116/OEM05/181119791/volkswagen-spending-plans-for-electric-autonomous-vehicles,Automotive News,2018-11-16T14:58:00.0000000Z
11,"Developed by <b>General</b> <b>Motors</b>’ new military defense unit ... More importantly, the tech under the shell could find its way into the fuel-cell <b>production</b> car that GM promised to deliver by 2022. Until that happens, let’s see what this truck is all ...",2018 GM Defense Chevrolet Silverado ZH2 Concept,https://www.topspeed.com/cars/chevrolet/2018-gm-defense-chevrolet-silverado-zh2-concept-ar183373.html,Top Speed,2018-11-16T11:18:00.0000000Z
12,<b>General</b> <b>Motors</b> Co. said in its third quarter earnings report and ... to prepare the facility near the intersection of U.S. 24 and Interstate 69 at Roanoke for <b>production</b> of the next-generation pickup trucks. They also are built at the company’s plants ...,"2019 Silverado, Sierra sales exceed expectations",https://www.fwbusiness.com/news/latest/businessweekly/article_f4f04ea5-022b-50d4-90f3-e1094bb765d4.html,Fort Wayne Business Weekly,2018-11-16T05:14:00.0000000Z
13,"Twenty years ago, the <b>General</b> <b>Motors</b> Lordstown plant was in a similar situation to ... There were fears the company planned to double its car <b>production</b> in Mexico. So, in fall 1998, Mahoning Valley leaders – including the Youngstown/Warren Regional ...",Campaign hopes to persuade GM to &#39;Drive It Home&#39; to Valley,http://www.vindy.com/news/2018/nov/15/campaign-hopes-persuade-gm-drive-it-home-valley/?nw,The Vindicator,2018-11-16T04:01:00.0000000Z
14,TurboSquid introduced the CheckMate standard in 2011 to improve quality across all <b>production</b> pipelines ... turbosquid-is-now-an-official-<b>general</b>-<b>motors</b>-licensee-300751716.html,TurboSquid is now an official <b>General</b> <b>Motors</b> licensee,https://finance.yahoo.com/news/turbosquid-now-official-general-motors-222200530.html,Yahoo Finance,2018-11-15T22:27:00.0000000Z
15,"with <b>production</b>, price, revenue (value) and market share for each manufacturer; the top players including Renault, PSA Group, Ford, Volkswagen, Fiat Chrysler Automobiles (FCA),Other prominent vendors: Daimler, Toyota, JAC , PACCAR , <b>General</b> <b>Motors</b> ...","Light Commercial Vehicle Market Key Vendors, Topographical Regions, and Industry Segments",https://realzima.com/light-commercial-vehicle-market-key-vendors-topographical-regions-and-industry-segments/,realzima.com,2018-11-15T21:43:00.0000000Z
16,"Musk spotlighted 50 new “<b>production</b>” cars in a crowded livestreamed event ... One way to boost sales: Tesla has joined <b>General</b> <b>Motors</b> and Nissan to lobby Congress for an extension of the $7,500 federal tax credit on electric-car purchases, which ...",How Elon Musk might make $920 million in Tesla debt go away,http://www.latimes.com/business/autos/la-fi-hy-tesla-convertible-bonds-20181115-story.html,Los Angeles Times,2018-11-15T21:00:00.0000000Z
17,"However, with increasing investments towards new energy vehicle <b>production</b> and favorable government policies ... in the report are Renault-Nissan Alliance, Mitsubishi <b>Motors</b> Corporation, <b>General</b> <b>Motors</b> Company, Toyota Motor Corporation, Ford Motor Company ...",New Energy Vehicles Market Report Just Published By Credence Research,http://www.tampabayreview.com/news/business/new-energy-vehicles-market-report-just-published-credence-research/58074/,tampabayreview.com,2018-11-15T19:27:00.0000000Z
18,"<b>General</b> <b>Motors</b> said it was increasing <b>production</b> of its Bolt electric car by 20 percent to meet global demand. Sales of the Bolt are up more than 15 percent this year, though the majority of sales ...",Go green or make green: Carmakers know SUVs still vastly outsell electric and hybrid cars,https://abcnews.go.com/Business/green-make-green-carmakers-suvs-vastly-outsell-electric/story?id=59215445,ABC News,2018-11-15T16:42:00.0000000Z
19,"In this segmentation, SUVs will have an upper hand due to increasing demand and <b>production</b> is estimated in the forecast ... Toyota Corporation, <b>General</b> <b>Motors</b> Company, HIAB, Zero, Fiat Chrysler, Says Group, Pal finger, Magna International, Plastic Omnia ...",Automotive Liftgate Market Expected to Deliver Dynamic Progression Until 2028,http://www.sbwire.com/press-releases/automotive-liftgate-market-expected-to-deliver-dynamic-progression-until-2028-1080495.htm,SBWire,2018-11-15T12:16:00.0000000Z
20,About 20 percent of the total TARP funds — $80 billion — went to bail out <b>General</b> <b>Motors</b> and Chrysler ... then go through a structured bankruptcy process and quickly return to <b>production</b>. Chrysler emerged as a newly merged company with Italian-based ...,"What did America buy with the auto bailout, and was it worth it?",http://www.keranews.org/post/what-did-america-buy-auto-bailout-and-was-it-worth-it,KERA News,2018-11-14T16:43:00.0000000Z
21,"The F-150 also prepares to go hybrid for the 2020 model year, with <b>production</b> scheduled to start in the latter ... hybrid system on the 1500 for the 2019 model year. So how does <b>General</b> <b>Motors</b> plan to counter the Ford Motor Company and Fiat Chrysler ...","<b>General</b> <b>Motors</b> Not Interested In Autonomous, Electric Pickup Trucks",https://www.autoevolution.com/news/general-motors-not-interested-in-autonomous-electric-pickup-trucks-130094.html,autoevolution,2018-11-12T16:07:00.0000000Z
