,description,headline,url,provider,date
0,"The $1.6 billion, 3.3 million-square-foot plant being built by Mazda <b>Toyota Manufacturing</b> USA in the Greenbrier area will produce <b>Toyota</b>’s Corolla and Mazda’s yet-to-be revealed crossover model. “It will be an absolutely amazing plant,” said Jim ...","&#39;Amazing&#39; plant will produce <b>Toyota</b>&#39;s Corolla, new Mazda crossover",https://www.decaturdaily.com/news/limestone_county/amazing-plant-will-produce-toyota-s-corolla-new-mazda-crossover/article_e137925e-708d-57d4-82aa-3c5386d5e749.html,Decatur Daily,2018-11-17T06:37:00.0000000Z
1,"The ceremony on a cool Friday morning in a heated tent in rural Limestone County brimmed with excitement, the formal groundbreaking ceremony of the Mazda <b>Toyota Manufacturing</b> USA plant featuring speeches by a U.S. senator and a governor. Once the ceremony ...",Mazda <b>Toyota</b> breaks ground in Huntsville: ‘I wish we could begin production tomorrow’,https://www.al.com/news/2018/11/mazda-toyota-break-ground-in-huntsville-i-wish-we-could-begin-production-tomorrow.html,al.com,2018-11-17T04:57:00.0000000Z
2,"HUNTSVILLE, Ala. (WIAT) -- Governor Kay Ivey and Mayor Tommy Battle were among some of the attendees at the groundbreaking ceremony for the Mazda <b>Toyota manufacturing</b> plant in Huntsville. The plant is estimated to cost $1.6 billion and employ up to 4,000 ...",Local leaders attend Mazda <b>Toyota</b> plant groundbreaking in Huntsville,https://www.cbs42.com/news/local/local-leaders-attend-mazda-toyota-plant-groundbreaking-in-huntsville/1602983900,CBS 42,2018-11-17T03:44:00.0000000Z
3,"AS: When I came into the program (at Somerset), Amy Caudill (a 2011 graduate who went on to become a maintenance team lead at <b>Toyota</b> Motor <b>Manufacturing</b>) was the one that I focused on and was inspired by. The feeling of “Oh, wow, look what she did ...","&#39;Oh, wow, look what she did&#39; — Increasing gender equity in <b>manufacturing</b>",https://www.plantservices.com/articles/2018/big-picture-interview-increasing-gender-equity-in-manufacturing/,Plant Services,2018-11-17T03:38:00.0000000Z
4,"With more than 150 automotive suppliers as well as carmakers, there are approximately 57,000 auto <b>manufacturing</b> jobs in the state. As part of Friday&#39;s groundbreaking, the <b>Toyota</b>-Mazda alliance donated $750,000 to support programs that will encourage and ...","<b>Toyota</b>, Mazda begin building new joint plant in Alabama",https://english.kyodonews.net/news/2018/11/5711f9e149dc-toyota-mazda-begin-building-new-16-bil-plant-in-alabama.html,kyodonews.net,2018-11-17T01:16:00.0000000Z
5,"As “Sweet Home Alabama” played in the background, a yellow robotic arm grasping a shovel officially broke ground on the $1.6 billion Mazda <b>Toyota Manufacturing</b> U.S.A. site Friday. When complete, the new plant, located east of Greenbrier Parkway and ...",MAZDA <b>TOYOTA MANUFACTURING</b>: Ground broken on new &#39;home&#39; w/PHOTOS,https://www.enewscourier.com/news/local_news/mazda-toyota-manufacturing-ground-broken-on-new-home-w-photos/article_384c29ae-e9f7-11e8-9d90-6f44411d0a36.html,The News Courier,2018-11-16T23:52:00.0000000Z
6,"A robot prepares to shovel the dirt in the ceremonial groundbreaking of the Mazda <b>Toyota Manufacturing</b> USA plant in Huntsville on Nov. 16, 2018. Looking on from the stage are Huntsville Mayor Tommy Battle, left, U.S. Sen. Doug Jones, center, and Gov.",Mazda <b>Toyota</b> break ground in Huntsville: - I wish we could begin production tomorrow&#39;,http://www.topix.com/county/limestone-al/2018/11/mazda-toyota-break-ground-in-huntsville-i-wish-we-could-begin-production-tomorrow,Topix,2018-11-16T23:39:00.0000000Z
7,"WAAY 31 learned more about the robot that stole the show at the $1.6 billion Mazda <b>Toyota Manufacturing</b>, U.S.A plant&#39;s groundbreaking ceremony on Friday. Officials said robots like this one are something we will see a lot of inside the plant. The president ...","Robot steals the show at Mazda, <b>Toyota</b> groundbreaking",https://www.waaytv.com/content/news/WAAY-31-learned-more-about-that-robot-that-stole-the-show-at-the-16-billion-Mazda-Toyota-Plants-groundbreaking-ceremony-on-Friday-500725542.html,WAAY-TV,2018-11-16T23:36:00.0000000Z
8,"The ground for a new auto assembly plant has officially been broken in Huntsville, Alabama, as Mazda <b>Toyota Manufacturing</b> USA begins building a new $1.6 billion facility. The facility, set to ...",Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
9,"What does it mean to your organization? State and local leaders in government, business and education answered that question Friday at the groundbreaking for Huntsville’s new Mazda <b>Toyota</b> automobile <b>manufacturing</b> plant. The two companies gave their own ...",Mazda <b>Toyota</b> in Alabama: ‘The new frontier’,https://www.al.com/business/2018/11/mazda-toyota-in-alabama-the-new-frontier.html,al.com,2018-11-16T22:06:00.0000000Z
