,description,headline,url,provider,date
0,"&quot;They have learned how to evolve,&quot; said Felipe Munoz, <b>global</b> analyst for JATO Dynamics ... they want to remain rare and exclusive,&quot; he said. <b>Mercedes</b>, Audi up their games The big six are being ...",How high-end SUVs are shaking up ultraluxury sales,http://europe.autonews.com/article/20181117/ANE/181109856/how-high-end-suvs-are-shaking-up-ultraluxury-sales,Automotive News Europe,2018-11-17T08:19:00.0000000Z
1,"We are therefore investing more than 10 billion euros in the expansion of our EQ model portfolio, and more than one billion euros in <b>global</b> battery production.” <b>Mercedes</b> says that EQ stands for “Electric Intelligence.” A 5-passenger midsize crossover ...",2020 <b>Mercedes</b>-Benz EQC Preview,https://www.nadaguides.com/cars/new-car-previews/2020-Mercedes-Benz-EQC-Preview,NADAguides,2018-11-17T03:16:00.0000000Z
2,"<b>Mercedes</b>-Benz GLC F-Cell SUV The GLC features a unique plug ... Toyota Mirai, produced since 2014 Estimates put the current <b>global</b> fuel cell vehicle market at less than $2 billion. Reports show that by year-end 2017, fewer than 6,400 hydrogen fuel cell ...",Hydrogen Fuel Cell Technology Is Just Now Taking Off,https://www.energyandcapital.com/articles/hydrogen-fuel-cell-technology-is-just-now-taking-off/6584,Energy and Capital,2018-11-16T22:01:00.0000000Z
3,"<b>Global</b> Aluminum Welding Wires Market ... It hosts many of the big truck manufacturing companies comprising Grebe, Invesco, and <b>Mercedes</b>. Japan has most efficient road transport infrastructure owing to its advance road connectivity system and world-class ...",Aluminum Welding Wires Market – Performance Survey 2025,http://www.sbwire.com/press-releases/aluminum-welding-wires-market/release-1086566.htm,SBWire,2018-11-16T19:39:00.0000000Z
4,"Our lead plant Rastatt is exclusively producing the tourer for the <b>global</b> market. Innovative Industry 4.0 technologies are being used here”, says Markus Schäfer, Member of the Divisional Board <b>Mercedes</b>-Benz Cars, Production and Supply Chain. The family ...",Continuation of ramp-up cascade of next-generation compact cars: <b>Mercedes</b>-Benz Rastatt plant starts production of the new B-Class,https://www.automotiveworld.com/news-releases/continuation-of-ramp-up-cascade-of-next-generation-compact-cars-mercedes-benz-rastatt-plant-starts-production-of-the-new-b-class/,Automotive World,2018-11-16T12:14:00.0000000Z
5,"In this way we are setting a new benchmark in the <b>global</b> automotive industry&quot;, says Markus Schäfer, Member of the Divisional Board <b>Mercedes</b>-Benz Cars, Production and Supply Chain. Stuttgart/Sindelfingen – For the first time <b>Mercedes</b>-Benz Cars gives a ...",<b>Mercedes</b>&#39; New Factory Looks Straight From A Sci-Fi Movie,https://www.motor1.com/news/276510/mercedes-factory-56-video-tour/,Motor1,2018-11-16T07:30:00.0000000Z
6,"<b>Mercedes</b> could either opt to install some new elements in ... as one of the fastest growing economies in the world to host events on a <b>global</b> scale and attract tourism to the country&quot;, city of Hanoi chairman Nguyen Duc Chung said. Hamilton wrote on ...",Lewis Hamilton could face Abu Dhabi engine penalty,http://dietpillo.com/2018/11/lewis-hamilton-could-face-abu-dhabi-engine-penalty/,dietpillo.com,2018-11-16T07:00:00.0000000Z
7,"It was way back in 2003 – well over 15 years ago – when <b>Mercedes</b>-Benz rolled out the very first CLS, the car that pioneered the four-door coupe sedan body style. Now, the third-generation CLS, which made its <b>global</b> debut at last year&#39;s LA Auto Show ...",2018 <b>Mercedes</b>-Benz CLS launched at Rs 84.70 lakh,https://www.msn.com/en-in/news/other/2018-mercedes-benz-cls-launched-at-rs-8470-lakh/ar-BBPLrff,Autocar India,2018-11-16T07:53:00.0000000Z
8,"Prior to joining Caldwell, <b>Mercedes</b> held leadership positions at executive search firms including Heidrick &amp; Struggles, where she helped re-establish and then managed its <b>global</b> venture capital practice; Highland Partners; and iCOM Consultants, an emerging ...",Linking Talent to Value,https://huntscanlon.com/2019-private-equity-conference/,Hunt Scanlon Media,2018-11-15T21:13:00.0000000Z
9,"And now a <b>Mercedes</b> Benz-owned startup called Beat says it’s muscling ... “We’re smaller, but we’re more agile and capable of innovating faster than our larger <b>global</b> competitors,” he said. Within a few months of the Mexico City rollout, Drandakis ...",Uber has a new rival in the world&#39;s most congested city,http://www.autonews.com/article/20181115/MOBILITY/181119838/uber-mexico-city-didi-competition,Automotive News,2018-11-15T16:57:00.0000000Z
10,"With its divisions <b>Mercedes</b>-Benz Cars ... cars and the world’s biggest manufacturer of commercial vehicles with a <b>global</b> reach. Daimler Financial Services provides financing, leasing, fleet ...",Daimler Financial Services AG announces Top Management Rotation,https://globenewswire.com/news-release/2018/11/15/1652506/0/en/Daimler-Financial-Services-AG-announces-Top-Management-Rotation.html,GlobeNewswire,2018-11-15T16:03:00.0000000Z
