,description,headline,url,provider,date
0,"On Monday, leading politicians and business, labor and community leaders will come together to send a clear message to <b>General Motors</b>: You’ll have a fight on your hands if you decide to shutter the Lordstown assembly complex. Too bad there won’t be ...",Has <b>GM</b> bailed on the Valley?,http://www.vindy.com/news/2018/nov/18/has-gm-bailed-on-the-valley/,The Vindicator,2018-11-18T05:59:00.0000000Z
1,"This formula can be calculated in Microsoft Excel. Assume you want to compare the expected returns between two public companies, Tesla <b>Motors</b> Incorporated and <b>General Motors</b> Company. Enter &quot;Tesla <b>Motors</b> Incorporated&quot; into cell B1 and &quot;<b>General Motors</b> ...",What is the formula for calculating CAPM in Excel?,https://www.investopedia.com/ask/answers/071415/what-formula-calculating-capital-asset-pricing-model-capm-excel.asp,Investopedia,2018-11-18T05:38:00.0000000Z
2,"TCW Group Inc. reduced its position in <b>General Motors</b> (NYSE:<b>GM</b>) (TSE:GMM.U) by 1.2% during the 3rd quarter, according to its most recent filing with the SEC. The firm owned 670,098 shares of the auto manufacturer’s stock after selling 8,342 shares during ...",<b>General Motors</b> (NYSE:<b>GM</b>) Position Reduced by TCW Group Inc.,https://theenterpriseleader.com/2018/11/15/tcw-group-inc-has-22-56-million-position-in-general-motors-gm.html,theenterpriseleader.com,2018-11-18T00:42:00.0000000Z
3,Here’s a statement taken from the press release announcing MapAnything’s latest funding which saw participation from <b>General Motors</b> (<b>GM</b>) as an investor: <b>GM</b> sales to commercial customers have grown by more than seven percent annually since 2012 ...,MapAnything and the Location of Things,https://www.nanalyze.com/2018/11/mapanything-location-of-things/,nanalyze.com,2018-11-18T00:24:00.0000000Z
4,Zacks Investment Research upgraded shares of <b>General Motors</b> (NYSE:<b>GM</b>) (TSE:GMM.U) from a hold rating to a buy rating in a research note released on Friday. Zacks Investment Research currently has $40.00 price target on the auto manufacturer’s stock.,<b>General Motors</b> (<b>GM</b>) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
5,"Written by Girl Scout Margie from Girl Scouts of Southeastern Michigan (Troop 70682). On October 27, 2018, <b>General Motors</b>’ (<b>GM</b>’s) Women in Design held a Girl Scout event about careers in designing. It may have been a rainy day outside, but inside was a ...",Guest Post: My Epic Experience Visiting <b>General Motors</b> and Learning About Designing Dream Cars,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
6,<b>General Motors</b> has revealed that its Maven peer-to-peer car-sharing program will get non-<b>GM</b> vehicles from mid-2019. Maven launched in July and only allows owners and eligible lessees of <b>GM</b> vehicles made in 2015 or newer to make them available on the car ...,<b>GM</b>’s Maven Car-Sharing Fleet To Expand And Include Non-<b>GM</b> Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
7,More than $1 billion Ford and <b>General Motors</b> noted in recent weeks that the aluminum and steel tariffs alone will cost them each about $1 billion more than they expected for raw materials this year alone. Fiat Chrysler and foreign-owned manufacturers with ...,"Hit hard by trade war, automakers hoping Trump will hold off on new round of tariffs",https://www.msn.com/en-us/finance/markets/hit-hard-by-trade-war-automakers-hoping-trump-will-hold-off-on-new-round-of-tariffs/ar-BBPOjRn,CNBC,2018-11-17T21:36:00.0000000Z
8,"The capital has changed the game for a number of recipients of Softbank&#39;s checks, including WeWork, Uber Technologies, <b>General Motors</b> Company&#39;s Cruise Automation, Flipkart Pvt. Ltd, Slack and Nvidia Corporation (NVDA) , which have collectively raked in ...",Softbank Has Become a New Sun in the Venture Capital Solar System,https://www.thestreet.com/investing/softbank-impact-on-venture-capital-14785064,TheStreet.com,2018-11-17T15:04:00.0000000Z
9,<b>General Motors</b> launched its Maven mobility service that also rents out vehicle via a car-share service. It has since expanded to include long-term rentals for freelance workers and peer-to-peer car sharing.,Scooter renter Lime gets into the car-share business,https://www.thecarconnection.com/news/1119972_scooter-renter-lime-gets-into-the-car-share-business,The Car Connection,2018-11-17T11:01:00.0000000Z
10,The clock is ticking for thousands of <b>General Motors</b> white-collar workers to decide how they want to exit the company. Load Error Salaried workers who&#39;ve been with <b>GM</b> for 12 or more years have until noon Monday to decide if they want a buyout offer ...,"If you don&#39;t take the <b>GM</b> buyout, will your boss protect your job?",https://www.msn.com/en-us/finance/news/if-you-dont-take-the-gm-buyout-will-your-boss-protect-your-job/ar-BBPO1sR,Detroit Free Press,2018-11-17T12:36:00.0000000Z
11,"Zacks Investment Research downgraded shares of <b>General Motors</b> (NYSE:<b>GM</b>) (TSE:GMM.U) from a buy rating to a hold rating in a research report released on Thursday morning. According to Zacks, “In third-quarter 2018, <b>General Motors</b> reported third-quarter ...",<b>General Motors</b> (<b>GM</b>) Cut to Hold at Zacks Investment Research,https://www.themarketsdaily.com/2018/11/16/general-motors-gm-cut-to-hold-at-zacks-investment-research.html,themarketsdaily.com,2018-11-17T00:30:00.0000000Z
12,1.00 billion shares or 0.60% more from 995.41 million shares in 2018Q1 were reported. Sterling Cap Management stated it has 0.82% in <b>General Motors</b> Company (NYSE:<b>GM</b>). First Mercantile has 0.01% invested in <b>General Motors</b> Company (NYSE:<b>GM</b>). Camelot ...,<b>General</b> Mtrs Co (<b>GM</b>) Share Price Declined While Golub Group LLC Has Trimmed Its Position by $36.74 Million,http://reurope.com/2018/11/16/general-mtrs-co-gm-share-price-declined-while-golub-group-llc-has-trimmed-its-position-by-36-74-million/,reurope.com,2018-11-17T00:22:00.0000000Z
13,Complete the form below to receive the latest headlines and analysts&#39; recommendations for <b>General Motors</b> with our free daily email newsletter: BMO Capital Markets reiterated their hold rating on shares of <b>General Motors</b> (NYSE:<b>GM</b>) (TSE:GMM.U) in a report ...,<b>General Motors</b>’ (<b>GM</b>) “Hold” Rating Reiterated at BMO Capital Markets,https://www.dispatchtribunal.com/2018/11/16/general-motors-gm-hold-rating-reiterated-at-bmo-capital-markets.html,dispatchtribunal.com,2018-11-17T00:12:00.0000000Z
