,description,headline,url,provider,date
0,"The biggest proof of their progress is visible in photos documenting the results of the IIHS small overlap crash testing of the 2019 Ram 1500 — released this month — along with testing of the Ford F-150, Nissan Titan and <b>Toyota</b> Tundra. Testing on ...",New-gen pickups win high marks for safety,http://canada.autonews.com/article/20181117/OEM11/181119784/crash-tests-pickups-safety,canada.autonews.com,2018-11-18T05:19:00.0000000Z
1,"Moreover, <b>Toyota</b> is a reputed for its wide service network and customer ... An average of 12-13 kmpl in traffic conditions can be achieved without much <b>issue</b>, which is a bit less than what the Kwid 1.0 offers in similar conditions. However, you get ...","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury cars at the price of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
2,"<b>Toyota</b> driver Jari-Matti Latvala won Rally Australia ... However it was Tanak that was ultimately caught out, his Yaris left stranded with a transmission <b>issue</b> caused by contact with a tree. That left Latvala with a run through the final stage, Wedding ...","Rally Australia: Latvala wins as Ogier, <b>Toyota</b> claim WRC titles",https://sg.news.yahoo.com/rally-australia-latvala-wins-ogier-033213234.html,Yahoo News Singapore,2018-11-18T04:14:00.0000000Z
3,"M-Sport Ford driver Sebastien Ogier has won a sixth the World Rally Championship title, following <b>Toyota</b> driver Ott Tanak&#39;s retirement from the Rally Australia season finale. Tanak pulled over with an apparent gearbox <b>problem</b> on the penultimate stage ...","Tanak retires, Ogier takes sixth WRC title",https://www.eurosport.com/wrc/tanak-retires-ogier-takes-sixth-wrc-title_sto7016580/story.shtml,Eurosport,2018-11-18T02:17:00.0000000Z
4,"Both cars get <b>Toyota</b>&#39;s 3.5-liter V6 engine ... Windows 10 version 1809 has even more <b>issues</b> If you are ready for the update, you can check it out by either going into the settings or by checking Microsoft&#39;s Update Center . The Arm64 apps are designed ...",<b>Toyota</b> Camry and Avalon get the TRD treatment,http://cybersecuritycaucus.com/2018/11/toyota-camry-and-avalon-get-the-trd-treatment/,cybersecuritycaucus.com,2018-11-18T01:23:00.0000000Z
5,"The automobile I drove, a current year <b>Toyota</b> Mustang was a senior high school graduation gift from my parents. Fortuitously, my loved ones was well off meaning I&#39;d never experienced financial <b>issues</b> anytime in my life. Dad was a large shot attorney who&#39;d ...",Model Sex Cam | eBony-Mature | Free Live Chat Xxx,https://motorwebs.net/formula1/model-sex-cam-ebony-mature-free-live-chat-xxx,motorwebs.net,2018-11-17T23:12:00.0000000Z
6,"The <b>Toyota</b> Land Cruiser is one of the large SUVs that can give ... The unusual folding style of the rear seats can exacerbate this <b>issue</b>. Most SUVs&#39; seats fold forward, but the LX&#39;s fold to the side. That provides a convenient, flat cargo floor, but ...",2019 Lexus LX,https://cars.usnews.com/cars-trucks/lexus/lx,cars.usnews.com,2018-11-17T21:44:00.0000000Z
7,<b>Toyota</b> has earned a total of 179 victories since joining the ... All comments other than website related <b>problems</b> need to be directed to the author. (c)SpeedwayMedia.com.,<b>Toyota</b> NCWTS Homestead Post-Race Recap,http://www.speedwaymedia.com/2018/11/17/toyota-ncwts-homestead-post-race-recap/,SpeedwayMedia,2018-11-17T14:17:00.0000000Z
8,MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... violated laws to get his job and to obtain personal trips. Among the <b>issues</b> was a trip to Disney World taken by Glenn and his family ...,"Alabama First Dog, Kay Ivey’s ‘Bear’ dies at 14",https://yellowhammernews.com/alabama-first-dog-kay-iveys-bear-dies-at-14/,Yellowhammer News,2018-11-17T13:12:00.0000000Z
9,"I’m glad <b>Toyota</b> decided to keep with the sturdy V6 because it’s ... Acceleration to highway speeds is a breeze, and I didn’t have any <b>issues</b> with my steep, slow-speed hill climb that I usually always do; the transmission didn’t fumble through ...",Auto Review: All-new Camry is the stylish family mover,http://www.timesonline.com/entertainmentlife/20181117/auto-review-all-new-camry-is-stylish-family-mover,Timesonline,2018-11-17T11:14:00.0000000Z
10,"As a result the new instruction from <b>Toyota</b> is to not take the fight to Tanak tomorrow ... Thierry Neuville is all but out of the fight down in eighth, with <b>problems</b> for Ogier and Tanak his best hope of snatching the title.",Latvala ordered not to fight Tanak for Australia win,https://www.motorsport.com/wrc/news/toyota-team-orders-latvala-tanak-australia/3215360/,Motorsport,2018-11-17T11:02:00.0000000Z
11,"KYLE BUSCH, No. 18 M&amp;M’s <b>Toyota</b> Camry, Joe Gibbs Racing Qualifying Position ... All comments other than website related <b>problems</b> need to be directed to the author. (c)SpeedwayMedia.com.",<b>Toyota</b> MENCS Homestead-Miami Speedway Post-Qualifying Recap,http://www.speedwaymedia.com/2018/11/16/toyota-mencs-homestead-miami-speedway-post-qualifying-recap/,SpeedwayMedia,2018-11-17T01:07:00.0000000Z
12,"Instead, owners of mass market cars such as the Honda Accord and <b>Toyota</b> Prius are opening their wallets for ... which has struggled with production <b>issues</b> and self-inflicted controversies. The car is particularly popular with younger buyers, and Musk ...",Tesla&#39;s Model 3 sedan is pulling in buyers who previously owned Accords and Priuses,http://www.latimes.com/business/la-fi-tesla-buyers-stretch-20181116-story.html,Los Angeles Times,2018-11-17T01:00:00.0000000Z
13,<b>Toyota</b>&#39;s Jari-Matti Latvala claimed the lead ... although he appeared to suffer a related <b>problem</b> on the remainder of the stage. It held up for the short SS12 that ended the loop.,Latvala now leads Tanak in <b>Toyota</b> one-two,https://asia.eurosport.com/wrc/latvala-now-leads-tanak-in-toyota-one-two_sto7015071/story.shtml,Eurosport Asia,2018-11-17T00:29:00.0000000Z
14,"The <b>Toyota</b> Center suddenly has a dash of old school Hollywood ... fresh lime juice and ginger beer. “The <b>problem</b> with the world is that everyone is a few drinks behind,” one Bogart quote reads. Keep up if you can. The cocktails can be enjoyed from ...",<b>Toyota</b> Center Unveils a Hidden New Plush Lounge for Platinum Seat Holders,https://www.papercitymag.com/culture/toyota-center-plush-lounge-bogarts-houston-rockets-concerts-glamour/,PaperCity Magazine,2018-11-17T00:25:00.0000000Z
15,"<b>Toyota</b> Camry came to rest against fire hydrant after driver suffers medical <b>issue</b> while driving on Tabernacle Street, St. George, Utah, Nov. 16, 2018 | Photo by Cody Blowers, St. George News Officers found the <b>Toyota</b>’s front bumper against the hydrant ...",Driver transported after vehicle runs into fire hydrant on Tabernacle,https://www.stgeorgeutah.com/news/archive/2018/11/16/cgb-driver-transported-after-vehicle-runs-into-fire-hydrant-on-tabernacle/,St George News,2018-11-17T00:18:00.0000000Z
16,MazdaUSA @<b>Toyota</b> #MadeinAL pic.twitter.com/sczzMlISdk ... violated laws to get his job and to obtain personal trips. Among the <b>issues</b> was a trip to Disney World taken by Glenn and his family ...,Ivey welcomes <b>Toyota</b> and Mazda executives for auto assembly plant groundbreaking ceremony in Huntsville,https://yellowhammernews.com/ivey-welcomes-toyota-and-mazda-executives-for-auto-assembly-plant-groundbreaking-ceremony-in-huntsville/,Yellowhammer News,2018-11-16T22:43:00.0000000Z
17,"&quot;The <b>issue</b> we have now is, over that 50 years ... that pipeline of people to work not only for Mazda-<b>Toyota</b> but also the suppliers and service industries that are going to spring up around this region to support this facility. “We’re like the dog ...",Mazda <b>Toyota</b> in Alabama: ‘The new frontier’,https://www.al.com/business/2018/11/mazda-toyota-in-alabama-the-new-frontier.html,al.com,2018-11-16T22:06:00.0000000Z
18,"People are fundamentally good and decent. All they want to do is comfortably raise their families and go to work every day. Just because they are working as hard as they can, doesn&#39;t mean they can&#39;t or won&#39;t... Information contained on this page is ...",Colonial <b>Toyota</b> Offers NU-Start for Customers with Credit <b>Problems</b>,http://www.ktvn.com/story/39497112/colonial-toyota-offers-nu-start-for-customers-with-credit-problems,KTVN,2018-11-16T22:05:00.0000000Z
19,"After positive feedback from the Tesla community, Musk decided to look into production. Which is where he ran into <b>problems</b>. Tequila is a famously Mexican drink and Mexico’s Tequila Regulatory Council doesn’t want Musk ruining the reputation of their ...","Ram For Sale, Teslaquila, Bondurant Has Closed, Spaceballs RV At Auction, New <b>Toyota</b> For Hero, And Fast Fails",https://www.powernationtv.com/post/ram-for-sale-teslaquila-bondurant-has-closed-spaceballs-rv-at-auction-new-toyota-for-hero-and-fast-fails,PowerNation,2018-11-16T21:48:00.0000000Z
20,"On Friday’s edition of ‘First Take,’ Smith took <b>issue</b> with the Golden State Warriors star on how he handled a question after getting blown out by the Houston Rockets at <b>Toyota</b> Center. Stephen A. went in real hard on Durant for telling a reporter post ...",Stephen A. Smith Rips Kevin Durant For Going Hard At Reporter But Not Draymond (VIDEO),https://terezowens.com/stephen-a-smith-rips-kevin-durant-for-going-hard-at-reporter-but-not-draymond-video/,TerezOwens.com,2018-11-16T21:08:00.0000000Z
21,"The <b>Toyota</b> Land Cruiser is one of the large SUVs that can give ... The unusual folding style of the rear seats can exacerbate this <b>issue</b>. Most SUVs&#39; seats fold forward, but the LX&#39;s fold to the side. That provides a convenient, flat cargo floor, but ...",2019 Lexus LX: What You Need to Know,https://www.msn.com/en-us/autos/reviews/2019-lexus-lx-what-you-need-to-know/ar-BBPOgSp,US News &amp; World Report - Cars,2018-11-17T21:43:00.0000000Z
22,"Starting off with a salvaged 20mm cannon from an F-16, a lot of work went into getting it working and mounted to one of <b>Toyota</b>’s hybrid electric go ... rotary cannon than what the compact car does, a <b>problem</b> which required an out of the box solution.",The curious case of an M61 Vulcan 20mm cannon-equipped <b>Toyota</b> Prius (VIDEOS),https://www.guns.com/news/2018/11/16/the-curious-case-of-an-m61-vulcan-20mm-cannon-equipped-toyota-prius-videos,Guns.com,2018-11-16T15:59:00.0000000Z
23,"The second stage was a difficult one for <b>Toyota</b>, and Latvala, who played it safe through the water splash, was the only Yaris WRC driver to escape <b>problems</b>, enabling him to move ahead of teammate Esapekka Lappi to take second position earlier in the day.",Ostberg grabs Rally Australia lead as Neuville’s title hopes take a blow,https://racer.com/2018/11/16/ostberg-grabs-rally-australia-lead-as-neuvilles-title-hopes-take-a-blow/,Racer,2018-11-16T14:52:00.0000000Z
24,"The <b>Toyota</b> Matrix that we pull behind the motor home also runs well, but it is 12 years old. Both have been perfect vehicles for our travels. Our thinking has been to trade both of them in before they develop <b>problems</b>. It was time to say goodbye to our ...",A New Chapter,http://travelwithwhippets.blogspot.com/2018/11/a-new-chapter.html,travelwithwhippets.blogspot.com,2018-11-16T14:48:00.0000000Z
25,"In FP1, <b>Toyota</b> ran fastest overall ... Further down the order, DragonSpeed’s BR1 lagged behind, completing just five laps due to a sensor <b>issue</b>. This leaves the American outfit behind the curve, particularly because it sat out the tire test, while ...",Buemi leads for <b>Toyota</b> in opening Shanghai practice,https://racer.com/2018/11/16/buemi-leads-for-toyota-in-opening-shanghai-practice/,Racer,2018-11-16T13:55:00.0000000Z
26,"“Fuji was a lot of fun but we did have some <b>issues</b> in the race and obviously the area that we need improving on is the reliability, but in terms of pace it wasn’t too bad. We weren’t near the <b>Toyota</b>’s but it wasn’t bad pace at all compared to the ...",Shanghai 6-Hours: Buemi sets wet free practice pace,https://www.grandprix247.com/2018/11/16/shanghai-6-hours-buemi-sets-wet-free-practice-pace/,grandprix247,2018-11-16T11:11:00.0000000Z
27,"Recently, the team received their own model from <b>Toyota</b> to use for three years ... “We must do research with [the robot] to provide solutions, so that they can tackle the <b>issues</b> of people living alone in the future,” said graduate Computer Science ...","With a shift in focus, RoboCanes regains steam on the world stage",https://news.miami.edu/stories/2018/11/robocanes-regains-steam.html,University of Miami News,2018-11-15T22:04:00.0000000Z
28,"<b>Problem</b> started right after 100 hundred miles. And still not right after two times service. I have now 2000 miles and now is piling to the right. Mid-July of this year I purchased a 2018 <b>Toyota Tundra</b> SR5 from Towne <b>Toyota</b> of Ledgewood, NJ. I made it 12 ...",<b>Toyota Tundra</b>,https://www.consumeraffairs.com/automotive/toyota_tundra.html,ConsumerAffairs,2018-11-11T00:00:00.0000000Z
29,"Detroit – <b>Toyota</b> is recalling nearly 188,000 pickup trucks, SUVs and cars worldwide because the air bags may not inflate in a crash. The recall covers 2018 and 2019 Tundra pickups and Sequoia SUVs as well as 2019 Avalon sedans. <b>Toyota</b> says the air bag ...",<b>Toyota</b> recalls vehicles to fix air bag <b>problem</b>,https://www.detroitnews.com/story/business/autos/foreign/2018/10/12/toyota-recall-air-bag-problem/38133437/,The Detroit News,2018-10-12T14:23:00.0000000Z
30,"Last week, <b>Toyota</b> Motor Corp. announced a recall of 2.43 million hybrid vehicles around the world for a potential stalling <b>issue</b>. According to <b>Toyota</b>, the vehicles might not enter a “failsafe” driving mode in response to certain hybrid system faults.",<b>Toyota</b> Recalls 2.4 Million Hybrids for Stalling <b>Issue</b>,https://spectrum.ieee.org/riskfactor/computing/it/toyota-recalls-24-million-hybrids-for-stalling-issue,IEEE Spectrum,2018-10-10T20:11:00.0000000Z
31,"<b>Toyota</b> plans to recall 2.43 million Prius hybrids worldwide to correct an <b>issue</b> that may cause the car to stall while its in operation. The company gave no timeline for when to expect the update, but promised customers will be alerted when the fix is ...",<b>Toyota</b> to Recall 2.43 Million Priuses for Stalling <b>Problem</b>,http://www.thedrive.com/news/24074/toyota-to-recall-2-43-million-priuses-for-stalling-problem,The Drive,2018-10-08T21:11:00.0000000Z
32,"It&#39;s not exactly the best look when an automaker has to recall a brand-new vehicle, but hey, sometimes these things happen. That&#39;s the case with <b>Toyota</b> and its 2019 Avalon. <b>Toyota</b> has issued a recall for 168,000 vehicles in the US, including the 2019 ...",<b>Toyota</b> already recalls 2019 Avalon for airbag <b>problems</b>,https://www.cnet.com/roadshow/news/toyota-2019-avalon-sequoia-tundra-recall-airbags/,CNET,2018-10-08T21:07:00.0000000Z
33,"<b>Toyota</b> is recalling 2.4 million hybrid-electric cars, mostly Prius models, around the world to fix an electronic defect that causes the vehicles to suddenly lose power that could “increase the risk of a crash.” The recall in the U.S. includes various ...",<b>Toyota</b> <b>issues</b> recall for 2.4 million cars,http://www.saukvalley.com/2018/10/07/toyota-issues-recall-for-2-4-million-cars/adbazev/,SaukValley.com,2018-10-07T22:18:00.0000000Z
34,"SINGAPORE - <b>Toyota</b> Motor Corp is recalling 744 Prius hybrid cars in Singapore, as part of its global recall of 2.4 million vehicles over a system <b>issue</b> that can lead to stalling. In response to The Straits Times&#39; queries, a spokesman for Borneo Motors ...",744 <b>Toyota</b> Prius hybrid vehicles in Singapore affected by global recall over stalling <b>issue</b>,http://www.asiaone.com/singapore/744-toyota-prius-hybrid-vehicles-singapore-affected-global-recall-over-stalling-issue,AsiaOne,2018-10-06T01:48:00.0000000Z
35,"<b>Toyota</b> Motor Corp. says it has issued a recall for 2.43 million hybrid vehicles in Japan and elsewhere for potential <b>problems</b> with stalling. The company said Friday that in rare cases the vehicles might fail to enter a “failsafe” driving mode, lose ...",<b>Toyota</b> Recalls 2.4 Million Hybrids Due To Stalling <b>Problems</b>,https://www.theyeshivaworld.com/news/general/1599476/toyota-recalls-2-4-million-hybrids-due-to-stalling-problems.html,Yeshiva World News,2018-10-06T00:59:00.0000000Z
36,"<b>Toyota</b> Motor Corp. says it has issued a recall for 2.43 million hybrid vehicles in Japan and elsewhere for potential <b>problems</b> with stalling. The company said Friday that in rare cases the vehicles might fail to enter a “failsafe” driving mode, lose ...",<b>Toyota</b> recalls 2.4 million vehicles due to stalling <b>problems</b>,https://www.wdsu.com/article/toyota-recalls-24-million-vehicles-due-to-stalling-problems/23614574,WDSU,2018-10-06T00:57:00.0000000Z
37,"<b>Toyota</b> said Friday that it is recalling 2.4 million hybrid gas-electric cars, mostly Prius models, around the world to fix an electronic defect that causes the vehicles to suddenly lose power and could “increase the risk of a crash.” The recall in the ...","<b>Toyota</b> <b>issues</b> a safety recall for 2.4 million Prius, Auris hybrids to fix a defect in their electronics",http://www.latimes.com/business/autos/la-fi-toyota-recall-20181005-story.html,Los Angeles Times,2018-10-06T00:49:00.0000000Z
