,description,headline,url,provider,date
0,"“We are members of the <b>Mercedes</b> Benz Museum in Stuttgart ... Then there is the BMW Owners’ Club of Kenya, which was started in <b>January</b> 2013 by car enthusiast Daniel Wako. The club’s events manager and social media publicist Claire Ng’eno ...","Not a petrolhead? Sorry, this club isn’t for you",https://www.nation.co.ke/news/Not-a-petrolhead--Sorry--this-club-isn-t-for-you/1056-4856948-sn6p18/index.html,Daily Nation,2018-11-18T06:26:00.0000000Z
1,"Daimler currently has a consensus rating of “Hold” and an average price target of €63.65 ($74.<b>01</b>). Daimler AG ... It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and Daimler Financial Services segments.",Daimler (DAI) Given a €48.00 Price Target at Citigroup,https://www.themarketsdaily.com/2018/11/17/daimler-dai-given-a-48-00-price-target-at-citigroup.html,themarketsdaily.com,2018-11-17T07:39:00.0000000Z
2,"Daimler has a 1 year low of €59.<b>01</b> ($68.62) and a 1 year high of €76.36 ($88.79 ... and buses in Germany and internationally. It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and Daimler Financial Services ...",Daimler (DAI) PT Set at €64.00 by BNP Paribas,https://theenterpriseleader.com/2018/11/16/daimler-dai-pt-set-at-64-00-by-bnp-paribas.html,theenterpriseleader.com,2018-11-17T00:54:00.0000000Z
3,"Daimler has a consensus rating of “Hold” and a consensus price target of €63.65 ($74.<b>01</b>). Daimler AG, together its subsidiaries ... It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and Daimler Financial ...",Daimler (ETR:DAI) Given a €54.00 Price Target at UBS Group,https://theenterpriseleader.com/2018/11/16/ubs-group-reiterates-54-00-price-target-for-daimler-dai.html,theenterpriseleader.com,2018-11-17T00:18:00.0000000Z
4,"And I can vouch for it because we all went through a really hard time in England in 2014. USA in China trade talks again, demands &#39;change of posture&#39; On <b>January</b> 1, Washington&#39;s 10 percent tariff rate on $200 billion in Chinese goods is set to rise to 25 ...","<b>Mercedes</b> driver Hamilton calls India poor - Clarifies his stand on Twitter, Instagram",http://androidevo.com/2018/11/16/mercedes-driver-hamilton-calls-india-poor-clarifies-his.html,androidevo.com,2018-11-16T06:32:00.0000000Z
5,"Fleet registrations in Norway reported from <b>January</b> 2018 to September 2018 were only 400 assets ... This was followed by BMW in second, then Toyota, Volkswagen, and <b>Mercedes</b>-Benz. Nissan, which was in sixth place, saw major volume increases via a 34.7% ...",Norwegian Fleet Registrations Flat So Far this Year,https://www.automotive-fleet.com/319455/norwegian-fleet-registrations-flat-so-far-this-year,Automotive Fleet,2018-11-15T23:33:00.0000000Z
6,"fights off yobs who stole his hat and wig by throwing his bell at them The Sun - <b>01</b>:52 AM GMT November 15, 2018 This brute bruised his girlfriend&#39;s brain by throwing a DRAWER at her head Chronicle Live - 08:00 AM GMT November 14, 2018 LeBron James ...",Man fined £380 for man throwing pie crust through window of his <b>Mercedes</b>,https://www.newsoneplace.com/7692091809/man-mercedes-throwing-window,newsoneplace.com,2018-11-15T22:19:00.0000000Z
7,<b>Mercedes</b> chief Toto Wolff has come out in support of his under ... faux pas that resulted in a social media freeze for the World Champion which lasted into <b>January</b>.,Wolff: Lewis did not criticise the nation,https://www.grandprix247.com/2018/11/15/wolff-lewis-did-not-criticise-the-nation/,grandprix247,2018-11-15T20:57:00.0000000Z
8,"Explosive showdown for <b>Mercedes</b> McQueen and a deadly hostage situation in hour long wedding special Metro - 10:03 AM GMT November 15, 2018 Hollyoaks spoilers: Cancer storyline ahead for Prince McQueen Metro - 23:58 PM GMT November 12, 2018 ...",Hollyoaks spoilers: Shock death as Russ Owen is murdered on his wedding day to <b>Mercedes</b> McQueen,https://www.newsoneplace.com/7678631809/hollyoaks-shock-russ-owen-mercedes-mcqueen-spoilers-murdered-wedding,newsoneplace.com,2018-11-15T19:55:00.0000000Z
9,"Arnott Inc. has introduced aftermarket replacement air suspension solenoid valve blocks for several Audi, Jeep and <b>Mercedes</b>-Benz applications. The new replacement valve blocks include VB-3265 for the Audi <b>01</b>-05 Allroad Quattro (C5 chassis), 05-11 A6 and S6 ...","Arnott Introduces Air Suspension Solenoid Valve Blocks For Various Audi, Jeep and <b>Mercedes</b>-Benz Applications",http://www.tirereview.com/arnott-introduces-air-suspension-solenoid-valve-blocks-for-various-audi-jeep-and-mercedes-benz-applications/,Tire Review Magazine,2018-11-15T15:36:00.0000000Z
10,"First, Deputy Mayor <b>Mercedes</b> Brugh hasn’t put herself in charge of city ... and is a priority in our plans to apply for future matching programs. The next one will be in <b>January</b>. Deputy Mayor Brugh has already improved safety at many intersections ...",KITCHELL: Better to plan for the future than to suffer from it,https://www.pharostribune.com/opinion/columns/article_76904aa1-b961-571b-9c57-2e924303e257.html,Pharos-Tribune,2018-11-14T19:35:00.0000000Z
11,"The new third-generation <b>Mercedes</b> CLS started production back in <b>January</b>, and now the automaker has announced US pricing for the luxury four-door coupe. The entry-level CLS 450 starts at $69,200 ...",The 2019 <b>Mercedes</b> CLS Is Considerably More Expensive Than The E-Class,https://carbuzz.com/news/the-2019-mercedes-cls-is-considerably-more-expensive-than-the-e-class,CarBuzz,2018-11-14T16:23:00.0000000Z
12,"Ntuli allegedly failed to control his vehicle, a black <b>Mercedes</b>-Benz Viano, when he fled with Lee on <b>January</b> 4. He collided with another vehicle driven by Brett Challenger in the vicinity of the ...",South Africa: Siam Lee&#39;s Mother Cries As Details of Her Daughter&#39;s Murder Emerge in Court,https://allafrica.com/stories/201811140816.html,AllAfrica.com,2018-11-14T15:56:00.0000000Z
13,"with only one other sighting reported in <b>January</b> of 2018. So what happened since then? Well, the first ever 2 Series Gran Coupe has been spotted again recently featuring significant updates. As you can see in the photos, the <b>Mercedes</b> CLA rival is now ...",2020 BMW 2 Series Gran Coupe Reveals Production Body And Lights,https://www.carscoops.com/2018/11/2020-bmw-2-series-gran-coupe-reveals-production-body-lights/,Carscoops,2018-11-14T12:58:00.0000000Z
14,"<b>Mercedes</b>-Benz USA (MBUSA) today reported October sales of 27,537 <b>Mercedes</b>-Benz models, a decrease of 4.9% from October 2017. <b>Mercedes</b>-Benz Vans reported best-ever October of 4,182 units (up 71.0%) and smart reported 95 units, bringing MBUSA to a grand ...","<b>Mercedes</b>-Benz Reports October Sales of 27,537 Units",https://www.marketwatch.com/press-release/mercedes-benz-reports-october-sales-of-27537-units-2018-11-01,MarketWatch,2018-11-01T17:26:00.0000000Z
15,"<b>Mercedes</b>-Benz Malaysia (MBM) has officially introduced the W205 <b>Mercedes</b>-Benz C-Class facelift in the country. Spied here recently, the refreshed compact executive sedan – which made its debut in Geneva earlier this year – arrives here in two variant ...","W205 <b>Mercedes</b>-Benz C-Class facelift now in Malaysia – C200 Avantgarde, C300 AMG Line, from RM260k",https://paultan.org/2018/11/01/w205-mercedes-benz-c-class-facelift-now-in-malaysia-c200-avantgarde-c300-amg-line-from-rm260k/,Paul Tan,2018-11-01T03:13:00.0000000Z
