,description,headline,url,provider,date
0,"The Renault Kwid is the only affordable hatchback currently which has made an impact on Alto and Celerio sales. The SUV inspired hatchback comes with good engines, good mileage and better than segment features. No wonder why it became a success ever since ...","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury cars at the <b>price</b> of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
1,"We finance! Is it worth the drive to Brantford Kia? Absolutely! Example of Cost of borrowing example: $10,000 financed at 6.99% amortized over 5/6/7 years would cost 1920/2304/2688 in interest. <b>Prices</b> are all in excluding HST and licensing.",2015 <b>Toyota</b> Sienna SE Leather Winter Tires,https://www.thespec.com/cars/2833853-brantfordkia-2015-toyota-sienna/,The Hamilton Spectator,2018-11-18T04:53:00.0000000Z
2,The Nokia 7.1 is a phone for the masses – a <b>Toyota</b> Camry if you will ... and against a series of robust paradigms – what features should you expect in this <b>price</b> bracket? While this phone is at a mass market <b>price</b> of $499 it meets every specification ...,Nokia 7.1 – the Nokia notch starts here,https://www.gadgetguy.com.au/product/nokia-7-1-the-nokia-notch-starts-here/,GadgetGuy.com.au,2018-11-18T03:24:00.0000000Z
3,"Both cars get <b>Toyota</b>&#39;s 3.5-liter V6 engine ... Insomniac&#39;s official announcement today didn&#39;t offer any <b>price</b>, but it confirmed the Friday release date. The Sunset Overdrive description states, &quot;the year is 2027 and Sunset City is under siege&quot;.",<b>Toyota</b> Camry and Avalon get the TRD treatment,http://cybersecuritycaucus.com/2018/11/toyota-camry-and-avalon-get-the-trd-treatment/,cybersecuritycaucus.com,2018-11-18T01:23:00.0000000Z
4,That also means that this <b>Toyota</b> won&#39;t get too much higher than its base MSRP. Check out our U.S. News Best <b>Price</b> Program for great savings at your local <b>Toyota</b> dealer. You can also find excellent manufacturer incentives on our <b>Toyota</b> deals page.,2019 <b>Toyota</b> Land Cruiser,https://cars.usnews.com/cars-trucks/toyota/land-cruiser,cars.usnews.com,2018-11-17T21:44:00.0000000Z
5,"The <b>Toyota</b> Land Cruiser is one of the large SUVs that can give ... so there aren’t many option packages to sort through. This Lexus has a starting <b>price</b> of $85,830 for the 2-row model and $90,830 for the 3-row model. Standard features in the Lexus ...",2019 Lexus LX,https://cars.usnews.com/cars-trucks/lexus/lx,cars.usnews.com,2018-11-17T21:44:00.0000000Z
6,"Base <b>price</b> is $41,750 — which hugely undercuts the base <b>prices</b> ... And costing some $30k less to start, too. When <b>Toyota</b> launched Lexus it had to go over the top with the ownership — and dealership — experience, too. People not only loved their ...",2018 Genesis G80 Review,https://www.motorists.org/blog/2018-genesis-g80-review/,National Motorists Association,2018-11-17T15:15:00.0000000Z
7,"It’s 100 percent Jeep. Base <b>price</b>: $27,495 <b>Toyota</b> RAV4 The vehicle that helped create the class of car-like SUVs that has become America’s bestselling segment reverses course with new looks and height that consciously borrow from <b>Toyota</b>’s rugged ...","Here&#39;s how I voted for car, truck and utility of the year",https://www.msn.com/en-us/autos/news/heres-how-i-voted-for-car-truck-and-utility-of-the-year-finalists/ar-BBPO1t4,Detroit Free Press,2018-11-17T12:35:00.0000000Z
8,"<b>Toyota</b> has been trying for years to banish the Avalon sedan ... Available in red, white, silver, and black, the Avalon TRD will go on sale soon with an asking <b>price</b> that’s likely to be a few thousand dollars higher than the $38,920 Avalon V-6 XSE.",The <b>Toyota</b> Avalon TRD Tries Harder Than Ever to Shed Its Elderly image,http://internetdo.com/technology/the-toyota-avalon-trd-tries-harder-than-ever-to-shed-its-elderly-image.html,internetdo.com,2018-11-17T11:00:00.0000000Z
9,"&quot;You just want to get the ball into his hands and watch and see what he does,&quot; head coach Bob <b>Price</b> said. &quot;He&#39;s a tremendous athlete, and he gives us the ability to take a play that may be doomed from the start and turn it into something big.&quot; This Celtic ...",FFE <b>Toyota</b> Player of the Week: Kawuan Ray,https://www.wdbj7.com/content/sports/FFE-Toyota-Player-of-the-Week--500734201.html,WDBJ,2018-11-17T05:37:00.0000000Z
