,description,headline,url,provider,date
0,"That&#39;s a departure from many major manufacturers in the region, like the <b>General</b> <b>Motors</b> and Ford plants ... the company pledged would be on site by <b>April</b> 2019. The clock started ticking in ...",Tesla offers glimpse inside Buffalo gigafactory,https://buffalonews.com/2018/11/16/tesla-offers-glimpse-inside-gigafactory/,The Buffalo News,2018-11-16T20:29:00.0000000Z
1,"The move comes as Tesla and <b>General</b> <b>Motors</b> are lobbying government officials to extend ... Musk noted in a Twitter post that, “Probably some deliveries in March, but <b>April</b> is more certain,” after being asked when the deliveries in China would start.",Tesla Promises Model 3 Delivery by Dec. 31 to Meet Tax Deadline,http://www.thedetroitbureau.com/2018/11/tesla-promises-model-3-delivery-by-dec-31-to-meet-tax-deadline/,TheDetroitBureau,2018-11-16T16:55:00.0000000Z
2,"<b>General</b> <b>Motors</b> plans to launch self-driving cars in the US cities ... As various U.S states like California, Arizona, Nevada and many are allowing the self-driving test. On <b>April</b> 2, 2018, California expanded its testing rule. Instead of using safety ...",The Self-driving Car Market in North America: Analysis &amp; Outlook Through 2018-2024 - ResearchAndMarkets.com,https://www.bizjournals.com/businesswire/press_releases/2018/11/16/20181116005411,The Business Journals,2018-11-16T16:25:00.0000000Z
3,"Since taking the helm in <b>April</b>, Diess has set about revamping ... while Toyota Motor Corp. and <b>General</b> <b>Motors</b> Co. reported strong results. VW declined as much as 3.4 percent, reversing earlier ...",VW to Spend $50 Billion on New Tech to Take On Rivals,https://finance.yahoo.com/news/vw-ups-spending-tech-11-133015346.html,Yahoo Finance,2018-11-16T14:01:00.0000000Z
4,"Competition includes <b>General</b> <b>Motors</b> and its Cruise Automation subsidiary and Uber ... It started an Early Rider program last <b>April</b> to shuttle 400 families to their desired destination. In the process, Waymo gained valuable insight into what riders need ...",Google&#39;s Waymo to launch driverless taxi service in two months,https://www.thecarconnection.com/news/1119971_googles-waymo-to-launch-driverless-taxi-service-in-two-months,The Car Connection,2018-11-16T13:53:00.0000000Z
5,"Cadillac is in flux. Johan de Nysschen, veteran of Audi and Infiniti, who led Cadillac out of Detroit and into Soho, left the company in <b>April</b>. In Septem-ber, <b>General</b> <b>Motors</b> pulled the plug on Cadillac’s East Coast adventure. Now Steve Carlisle ...",Relocation Services,https://www.magzter.com/articles/2238/313819/5bed081cc93ec,Magzter,2018-11-15T19:05:00.0000000Z
6,In a lot of ways it was <b>General</b> <b>Motors</b>’ year. The revamp of the midsize A-Body models ... Most are familiar with the tragic assassinations of Martin Luther King Jr. in <b>April</b> and Robert Kennedy in June. But those events are just part of a frenzied year.,1968: A Year of Political and Societal Unrest Hand-in-Hand with the Decade’s Best Muscle Cars,https://www.hotrod.com/articles/1968-decades-best-muscle-cars/,Hot Rod,2018-11-15T16:21:00.0000000Z
7,"In its upcoming Cadillac CT6-V sports sedan, <b>General</b> <b>Motors</b> is expected to launch a state-of-the-art ... As for the Blackwing V-8, it will debut in <b>April</b> of 2019 with the 2019 Cadillac CT6-V. We contacted GM for comment on the purported Blackwing logo ...",The <b>General</b> <b>Motors</b> Blackwing V-8: Everything We Know so Far,http://www.thedrive.com/news/24917/the-general-motors-blackwing-v-8-everything-we-know-so-far,The Drive,2018-11-14T21:51:00.0000000Z
8,"A Bloomberg analyst said the new service puts Waymo at the head of the pack — at least for now — in the rush to commercialize autonomous vehicle services against the likes of <b>General</b> <b>Motors</b> ... service in Phoenix last <b>April</b>, signing on 400 families ...",Waymo to launch first robotaxi service in Phoenix within 2 months,https://www.bizjournals.com/phoenix/news/2018/11/14/waymo-to-launch-first-robotaxi-service-in-phoenix.html,The Business Journals,2018-11-14T13:15:00.0000000Z
9,"had been employed at <b>General</b> <b>Motors</b>, was a member of the Ohio Freemasons (Western Star Lodge #21) and enjoyed motorcycle riding with his wife. His wife of 65 years, Daisy M. (McKnight) Peters, preceded him in death <b>April</b> 16, 2003. Survivors include a son ...",Harold D. Peters,http://www.salemnews.net/obituaries/2018/11/harold-d-peters/,Salem News,2018-11-14T05:23:00.0000000Z
10,"Elliott said Hyundai Motor Group, despite having &quot;excess capital,&quot; lagged behind peers such as <b>General</b> <b>Motors</b> and Toyota in shareholder returns ... Hyundai Motor could not immediately be reached for comment. In <b>April</b>, Elliott Management said it owned ...","In another push, Elliott calls on Hyundai to boost returns, review assets",https://www.marketscreener.com/KIA-MOTORS-CORPORATION-6492386/news/In-another-push-Elliott-calls-on-Hyundai-to-boost-returns-review-assets-27596941/?countview=0,marketscreener.com,2018-11-13T15:38:00.0000000Z
11,"The plant is now home to <b>General</b> <b>Motors</b> but all those years ago ... Doolittle in his raid on Tokyo in <b>April</b> of 1942. &quot;It was launched off aircraft carrier, which had never been done before ...",Kansas City woman shares her story of duty and patriotism during World War II,https://fox4kc.com/2018/11/11/kansas-city-woman-shares-her-story-of-duty-and-patriotism-during-world-war-ii/,WDAF-TV,2018-11-12T06:21:00.0000000Z
12,"MORRIS TWP, MI -- Carl Rhinebolt remembers trying to yell for help after the armored personnel carrier he was riding atop on <b>April</b> 12, 1970 took on heavy ... Rhinebolt had been working for <b>General</b> <b>Motors</b> when he was drafted in mid-1969 and shipped off ...",Michigan veteran receives Purple Heart nearly 50 years after combat injury,https://www.mlive.com/news/flint/index.ssf/2018/11/michigan_veteran_receives_purp.html,MLive,2018-11-11T16:40:00.0000000Z
13,<b>General</b> <b>Motors</b>’ defense division has released an enigmatic video ... cues remind us of the 2020 Silverado HD which Chevrolet released a teaser photo of in <b>April</b> 2018. The ZH2 could preview the big-bodied Silverado. GM Defense refused to provide ...,This hydrogen-powered Chevrolet Silverado looks like it’s straight out of Halo,https://www.digitaltrends.com/cars/chevrolet-silverado-zh2-is-an-army-spec-hydrogen-powered-brute/,digitaltrends.com,2018-11-08T06:43:00.0000000Z
14,DETROIT (AP) — As <b>General</b> <b>Motors</b> reported a healthy $2.5 billion third-quarter ... Retired Chief Financial Officer Chuck Stevens hinted at white-collar cutbacks in <b>April</b> of 2017 when he told analysts that GM is looking for cuts as it simplifies its ...,GM offers buyouts to 18K workers after posting strong profit,http://www.agrinews-pubs.com/farm_equipment/gm-offers-buyouts-to-k-workers-after-posting-strong-profit/article_3fa824f8-857d-557d-a4a5-cc98a7874157.html,AGRINEWS,2018-11-07T21:14:00.0000000Z
15,"<b>General</b> <b>Motors</b> is spending $65 million ... Completion is scheduled for <b>April</b> 2019. <b>General</b> contractor Brinkmann, St. Louis, broke ground on the project in June. “It gives us the flexibility and the room to grow and also to be extremely efficient in ...",GM Warehouse Reflects Logistics Plan,https://www.enr.com/articles/45823-gm-warehouse-reflects-logistics-plan,Engineering News-Record,2018-11-07T20:41:00.0000000Z
