,description,headline,url,provider,date
0,"Trump described it as a &quot;very complete list&quot; of 142 concessions on a variety of <b>issues</b> Washington has put to Beijing ... Buick, a subsidiary of car maker <b>General</b> <b>Motors</b> Corp., would likely have to file for bankruptcy without the Chinese market, say ...",&#39;Do you have the paper?&#39;: Washington scrambles for details ahead of US-China trade talks,http://www.abc-7.com/story/39499374/do-you-have-the-paper-washington-scrambles-for-details-ahead-of-us-china-trade-talks,ABC7,2018-11-17T23:48:00.0000000Z
1,"On October 27, 2018, <b>General</b> <b>Motors</b>’ (GM’s) Women in Design held a Girl Scout ... Being able to identify the <b>issues</b> and come up with creative solutions as a team is key! One of my favorite stations was the photo opp 📸station. The 2016 Chevrolet ...",Guest Post: My Epic Experience Visiting <b>General</b> <b>Motors</b> and Learning About Designing Dream Cars,http://blog.girlscouts.org/2018/11/guest-post-my-epic-experience-visiting.html,blog.girlscouts.org,2018-11-17T23:08:00.0000000Z
2,"The firm has since advised on some of the largest Chapter 11 reorganizations including <b>General</b> <b>Motors</b> Co. and Enron Corp. When forming ... reach a diagnosis or address their complex procedural <b>issues</b>, that whole team is created around each patient ...","Businessman modeled his firm on Mayo Clinic, then gave $200 million for medical school",http://www.wctrib.com/business/healthcare/4530836-businessman-modeled-his-firm-mayo-clinic-then-gave-200-million-medical,West Central Tribune,2018-11-17T18:15:00.0000000Z
3,"House Republicans don’t let themselves get distracted by trivial side <b>issues</b>, such as public school funding ... They didn’t. Now, <b>General</b> <b>Motors</b>’ Lordstown plant is in jeopardy. Along the Mahoning, GOP presidential margins will grow.","Abortions are declining in Ohio, property taxes for schools are rising. Which <b>issue</b> do you think GOP lawmakers are targeting? Thomas Suddes",https://www.cleveland.com/opinion/2018/11/abortions-are-declining-in-ohio-property-taxes-for-schools-are-rising-which-issue-do-you-think-gop-lawmakers-are-targeting-thomas-suddes.html,The Plain Dealer,2018-11-17T16:17:00.0000000Z
4,He concluded a 20-year career in domestic and international communications at <b>General</b> <b>Motors</b> in 2017. He can be found on Twitter: @AlanAdler.,Ford recalls Expedition and Navigator SUVs for rear seat <b>issue</b>,https://www.trucks.com/2018/11/16/ford-recalls-2018-expedition-navigator-missing-seat-parts/,trucks.com,2018-11-16T21:42:00.0000000Z
5,"More than 80 concept, demonstrator and/or test-fleet fuel-cell-powered electric vehicles have been fielded by 25 automakers worldwide since <b>General</b> <b>Motors</b> (Detroit ... rate will be tempered by infrastructure <b>issues</b> [e.g., refueling stations and fuel ...",The markets: Fuels cells and batteries (2019),https://www.compositesworld.com/articles/the-markets-fuels-cells-and-batteries-2016,CompositesWorld,2018-11-16T21:20:00.0000000Z
6,"or deal with personal health <b>issues</b>, have been able to gradually return to successful careers at companies like IBM, Goldman Sachs, <b>General</b> <b>Motors</b> and others. Extended time away from a career means employees miss out on training and market developments ...",Smoothing the way for women to return to work after decades away,https://kbzk.com/cnn/2018/11/16/smoothing-the-way-for-women-to-return-to-work-after-decades-away/,7KBZK,2018-11-16T15:53:00.0000000Z
7,"It seems <b>General</b> <b>Motors</b> took notice ... She begins by saying she knows we’re well aware of the <b>issues</b> regarding electric vehicles in cold weather. Most importantly, she stresses that when ...",Cold Weather Electric Car Tips From <b>General</b> <b>Motors</b>,https://insideevs.com/gm-cold-weather-electric-car-tips/,Inside EVs,2018-11-16T14:56:00.0000000Z
8,"“I worked for <b>General</b> <b>Motors</b> for 15 years as an auto body designer. When the automotive industry was experiencing financial <b>issues</b>, I decided to change careers and moved to South Dakota and worked as an administrator for four years.” Then, she ...",Your Style: Angela Lako,https://www.postbulletin.com/life/lifestyles/your-style-angela-lako/article_3af53b56-e6cc-11e8-8d03-e3cf47c6a96b.html,Post-Bulletin,2018-11-16T14:15:00.0000000Z
9,"Tesla, <b>General</b> <b>Motors</b>, and Nissan spearheaded the formation of a coalition ... but alternative proposals aren’t fully baked and there is a lack of consensus on the <b>issue</b>. Even proponents of the Barrasso legislation admit it has virtually no chance ...",Electric-Car Tax Credit Efforts Running Out of Juice in Congress,https://www.nationaljournal.com/s/674731/electric-car-tax-credit-efforts-running-out-of-juice-in-congress,National Journal,2018-11-16T01:44:00.0000000Z
