,description,headline,url,provider,date
0,"Charity work is one of the members&#39; key mandates. Finesse rings loud from a photo taken on <b>October</b> 27 that captured a fleet of <b>Mercedes</b> Benz cars parked at the Kenyatta National Hospital compound. A beautiful face here, with the headlight design suggesting ...","Not a petrolhead? Sorry, this club isn’t for you",https://www.nation.co.ke/news/Not-a-petrolhead--Sorry--this-club-isn-t-for-you/1056-4856948-sn6p18/index.html,Daily Nation,2018-11-18T06:26:00.0000000Z
1,"It is a similar style of indicator which is seen in expensive SUVs from Audi, BMW and <b>Mercedes</b>. Aditya says – “On 19th <b>October</b>, I encountered Tata Harrier on Roads of Pune and it was testing the dual tone LED DRLs with Orange indicators embedded in it.","Tata Harrier LED DRL will also be turn indicator – Similar to Audi, <b>Mercedes</b> SUVs",https://www.rushlane.com/tata-harrier-led-drl-will-also-be-turn-12287065.html,Rushlane.com,2018-11-18T02:46:00.0000000Z
2,"The &#39;Recharge&#39; fundraising campaign initiated by <b>Mercedes</b>-Benz in support of the TRIBUTE TO BAMBI Foundation came to an end at the BAMBI awards ceremony with a donation of over 115,000 euros. Since mid-<b>October</b> members of the public have participated in the ...",Stellar donations for a good cause: Successful end to the <b>Mercedes</b>-Benz fundraising campaign &quot;Recharge&quot;,https://www.marketscreener.com/DAIMLER-436541/news/Stellar-donations-for-a-good-cause-Successful-end-to-the-Mercedes-Benz-fundraising-campaign-Rechar-27626736/,marketscreener.com,2018-11-17T10:50:00.0000000Z
3,Sean Payton speaks with the media after the Saints last practice before they face off against the Washington Redskins on Monday Night Football on <b>October</b> 8 at 7:15 p.m. on ESPN in the <b>Mercedes</b>-Benz Superdome. Head Coach Sean Payton speaks with the media at ...,Sean Payton Saints vs Eagles Week 11 Media Availability,https://www.neworleanssaints.com/video/sean-payton-saints-vs-eagles-week-11-media-availability,New Orleans Saints,2018-11-16T21:48:00.0000000Z
4,"Volkswagen, Renault, FCA’s Alfa Romeo and Nissan were Western Europe’s big losers in <b>October</b> while BMW and Daimler’s <b>Mercedes</b> bucked the trend. The Western European market is still on a roller-coaster ride after new, tighter, fuel economy rules ...","VW, Renault, Alfa Romeo Sales Suffer From Europe&#39;s New Fuel Economy Rules",https://www.forbes.com/sites/neilwinton/2018/11/15/vw-renault-alfa-romeo-sales-suffer-from-europes-new-fuel-economy-rules/,Forbes,2018-11-15T16:18:00.0000000Z
5,"<b>Mercedes</b>-AMG Petronas Motorsport is only the second team to ... One™ World Drivers&#39; Championship title*, which he secured at the Mexico Grand Prix on 28 <b>October</b> 2018. Hamilton is just the third driver in the sport&#39;s history to become a five-time World ...",Axalta congratulates <b>Mercedes</b>-AMG Petronas Motorsport on another historic Formula One™ season,https://www.marketwatch.com/press-release/axalta-congratulates-mercedes-amg-petronas-motorsport-on-another-historic-formula-onetm-season-2018-11-15,MarketWatch,2018-11-15T14:25:00.0000000Z
6,"Download PDF, above right, for Europe sales by automaker, brand and market for <b>October</b> and 10 months. BMW brand sales jumped 12 percent while rival <b>Mercedes</b>-Benz saw registrations rise 7.9 percent. Other winners included Jaguar, whose sales jumped 65 ...","VW, FCA, hit hard as Europe sales fall 7%",http://www.autonews.com/article/20181115/COPY01/311159957/acea-sales-europe-october,Automotive News,2018-11-15T11:13:00.0000000Z
7,Demand in <b>October</b> softened after carmakers flooded markets with new vehicles ahead of the September 1 introduction of stricter emissions standards. BMW and <b>Mercedes</b>-Benz saw their sales rise 12.4 percent and 7.9 percent while Jaguar sales surged 65 percent ...,European passenger car sales slump 7.4 percent in <b>October</b>,https://www.investing.com/news/stock-market-news/european-passenger-car-sales-slump-74-percent-in-october-1689202,Investing.com,2018-11-15T05:50:00.0000000Z
8,"Overall, based on our Tesla estimates, Tesla took 28% of the pie, BMW 23%, and <b>Mercedes</b>-Benz 20% in <b>October</b>. As far as overall luxury auto brand sales (cars + SUVs and crossovers), with just three ...",Tesla Model 3 = #1 Top Selling Luxury Car in USA in <b>October</b>,https://cleantechnica.com/2018/11/14/tesla-model-3-1-top-selling-luxury-car-in-usa-in-october/,CleanTechnica,2018-11-15T03:10:00.0000000Z
9,"Lauda left hospital at the end of <b>October</b> and is now in a rehabilitation clinic. Hamilton said he had kept in regular contact with Lauda, who was instrumental in the Briton’s move from McLaren to <b>Mercedes</b> at the end of 2012, since the operation.",<b>Mercedes</b> salute absent Lauda with red cap tribute,https://www.grandprix247.com/2018/11/13/mercedes-salute-absent-lauda-with-red-cap-tribute/,grandprix247,2018-11-13T20:14:00.0000000Z
10,"Lauda left hospital at the end of <b>October</b> and is now in a rehabilitation clinic. Hamilton said he had kept in regular contact with Lauda, who was instrumental in the Briton&#39;s move from McLaren to <b>Mercedes</b> at the end of 2012, since the operation.",Motor racing-<b>Mercedes</b> salute absent Lauda with red cap tribute,https://www.eurosport.com/motorsports/motor-racing-mercedes-salute-absent-lauda-with-red-cap-tribute_sto7011049/story.shtml,Eurosport,2018-11-13T18:53:00.0000000Z
11,"<b>Mercedes</b>-Benz set a new car sales record in <b>October</b> worldwide, with huge demand in some of its new models – such as the recently revised C-Class – helping the firm to build its stronghold on the new car market. The German manufacturer saw huge demand ...",<b>Mercedes</b>-Benz sets new car sales record in <b>October</b>,https://www.carkeys.co.uk/news/mercedes-benz-sets-new-car-sales-record-in-october,Car Keys,2018-11-08T12:07:00.0000000Z
12,"Despite a 5 percent U.S. sales decline in <b>October</b>, <b>Mercedes</b>-Benz remains at the top of the luxury brands, extending its lead over BMW on the … Despite a 5 percent U.S. sales decline in <b>October</b>, <b>Mercedes</b>-Benz remains at the top of the luxury brands ...",<b>October</b> 2018: BMW trailing <b>Mercedes</b> in U.S. sales,https://www.bmwblog.com/2018/11/02/october-2018-bmw-trailing-mercedes-in-u-s-sales/,BMW BLOG,2018-11-02T15:58:00.0000000Z
13,Information contained on this page is provided by an independent third-party content provider. Frankly and this Site make no warranties or representations in connection therewith. If you are affiliated with this page and would like it removed please ...,<b>Mercedes</b>-Benz Canada gains momentum in <b>October</b>,http://www.nbc29.com/story/39404645/mercedes-benz-canada-gains-momentum-in-october,NBC29,2018-11-02T00:00:00.0000000Z
14,"Benz models, a decrease of 4.9% from <b>October</b> 2017. <b>Mercedes</b>-Benz Vans reported best- ever <b>October</b> of 4,182 units (up 71.0%) and smart reported 95 units, bringing MBUSA to a grand total of 31,814 vehicles for the month (up 0.9%). On a year-to-date basis ...",<b>MERCEDES</b>-BENZ USA REPORTS <b>OCTOBER</b> SALES of,https://www.daimler.com/dokumente/investoren/nachrichten/kapitalmarktmeldungen/daimler-mercedes-benz-ir-release-en-20181102.pdf,Daimler,2018-11-02T00:00:00.0000000Z
15,"It has been corrected. Despite a 5 percent U.S. sales decline in <b>October</b>, <b>Mercedes</b>-Benz remained No. 1 among luxury brands last month, extending its lead over BMW on the year. <b>Mercedes</b> sold 27,537 vehicles in the month, excluding commercial vans.",LUXURY: <b>Mercedes</b> dips but stays ahead of BMW,http://www.autonews.com/article/20181101/RETAIL01/181109957/luxury-mercedes-dips-but-stays-ahead-of-bmw,Automotive News,2018-11-01T22:53:00.0000000Z
16,"ATLANTA November 1, 2018; <b>Mercedes</b>-Benz USA (MBUSA) today reported <b>October</b> sales of 27,537 <b>Mercedes</b>-Benz models, a decrease of 4.9% from <b>October</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>October</b> of 4,182 units (up 71.0%) and smart reported 95 units ...","<b>Mercedes</b>-Benz Reports <b>October</b> 2018 Sales of 27,537 Units",https://www.theautochannel.com/news/2018/11/01/635810-mercedes-benz-reports-october-sales-27-537-units.html,The Auto Channel,2018-11-01T19:55:00.0000000Z
17,"<b>Mercedes</b>-Benz USA (MBUSA) today reported <b>October</b> sales of 27,537 <b>Mercedes</b>-Benz models, a decrease of 4.9% from <b>October</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>October</b> of 4,182 units (up 71.0%) and smart reported 95 units, bringing MBUSA to a grand ...","<b>Mercedes</b>-Benz Reports <b>October</b> Sales of 27,537 Units",https://www.kitv.com/story/39401060/mercedes-benz-reports-october-sales-of-27537-units,KITV,2018-11-01T17:36:00.0000000Z
18,"<b>Mercedes</b>-Benz USA (MBUSA) today reported <b>October</b> sales of 27,537 <b>Mercedes</b>-Benz models, a decrease of 4.9% from <b>October</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>October</b> of 4,182 units (up 71.0%) and smart reported 95 units, bringing MBUSA to a grand ...","<b>Mercedes</b>-Benz Reports <b>October</b> Sales of 27,537 Units",http://www.fox34.com/story/39401060/mercedes-benz-reports-october-sales-of-27537-units,FOX 34,2018-11-01T13:36:00.0000000Z
19,"<b>Mercedes</b>-Benz USA (MBUSA) today reported <b>October</b> sales of 27,537 <b>Mercedes</b>-Benz models, a decrease of 4.9% from <b>October</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>October</b> of 4,182 units (up 71.0%) and smart reported 95 units, bringing MBUSA to a grand ...","<b>Mercedes</b>-Benz Reports <b>October</b> Sales of 27,537 Units",http://www.khq.com/story/39401060/mercedes-benz-reports-october-sales-of-27537-units,KHQ-Q6,2018-11-01T13:36:00.0000000Z
20,"<b>Mercedes</b>-Benz USA (MBUSA) today reported <b>October</b> sales of 27,537 <b>Mercedes</b>-Benz models, a decrease of 4.9% from <b>October</b> 2017. <b>Mercedes</b>-Benz Vans reported best-ever <b>October</b> of 4,182 units (up 71.0%) and smart reported 95 units, bringing MBUSA to a grand ...","<b>Mercedes</b>-Benz Reports <b>October</b> Sales of 27,537 Units",https://www.morningstar.com/news/business-wire/BWIPREM_20181101005888/mercedesbenz-reports-october-sales-of-27537-units.html,Morningstar,2018-11-01T13:15:00.0000000Z
