,description,headline,url,provider,date
0,"When <b>Mercedes</b> announced it would quit the DTM and focus its motorsport efforts outside of F1 on FE in <b>July</b> 2017, Paffett and the rest of the manufacturer’s drivers realised they would have to find employment elsewhere. But Paffett did not consider ...",Meet The New Rookie Who Is Behind <b>Mercedes</b>’ Next Big Project,https://www.msn.com/en-us/sports/motorsports/meet-the-new-rookie-who-is-behind-mercedes-e2-80-99-next-big-project/ar-BBPOkXH,Inside EVs,2018-11-17T18:11:00.0000000Z
1,"Deutsche Bank reiterated a “buy” rating on shares of Daimler in a report on Friday, <b>July</b> 27th. Finally ... It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and Daimler Financial Services segments.",Daimler (DAI) PT Set at €64.00 by BNP Paribas,https://theenterpriseleader.com/2018/11/16/daimler-dai-pt-set-at-64-00-by-bnp-paribas.html,theenterpriseleader.com,2018-11-17T00:54:00.0000000Z
2,"equinet set a €71.00 ($82.56) price objective on Daimler and gave the stock a “buy” rating in a research note on Thursday, <b>July</b> 26th. Jefferies Financial ... It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses ...",Daimler (ETR:DAI) Given a €54.00 Price Target at UBS Group,https://theenterpriseleader.com/2018/11/16/ubs-group-reiterates-54-00-price-target-for-daimler-dai.html,theenterpriseleader.com,2018-11-17T00:18:00.0000000Z
3,"The campaign launched in <b>July</b> 2018 offers homebuyers exclusive packages for selected E&amp;O landmark properties in Penang, Iskandar Malaysia and Kuala Lumpur city centre plus a chance to win one of two <b>Mercedes</b> Benz C-Class C200 AMG on offer. All it took was ...",First winner of the E&amp;O Luxury Living Campaign unveiled,https://www.penangpropertytalk.com/2018/11/first-winner-of-the-eo-luxury-living-campaign-unveiled/,Penang Property Talk,2018-11-16T15:30:00.0000000Z
4,"In <b>July</b>, Daimler Financial Services will be renamed ... who is currently responsible for the company&#39;s European operations and <b>Mercedes</b>-Benz Bank, will succeed Entenmann as CEO and chairman.",Daimler Financial gets new Europe boss,http://europe.autonews.com/article/20181115/COPY/311159849/daimler-financial-gets-new-europe-boss,Automotive News Europe,2018-11-16T09:38:00.0000000Z
5,"Barclays set a €73.00 ($84.88) target price on shares of Daimler and gave the stock a sell rating in a report on Thursday, <b>July</b> 19th. JPMorgan Chase ... It operates through <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses, and ...",Nord/LB Analysts Give Daimler (DAI) a €53.00 Price Target,https://www.themarketsdaily.com/2018/11/16/nord-lb-analysts-give-daimler-dai-a-53-00-price-target.html,themarketsdaily.com,2018-11-16T06:44:00.0000000Z
6,"In <b>July</b> 2019, the planned renaming of the company ... world’s most successful automotive companies. With its divisions <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans, Daimler Buses ...",Daimler Financial Services AG announces Top Management Rotation,https://globenewswire.com/news-release/2018/11/15/1652506/0/en/Daimler-Financial-Services-AG-announces-Top-Management-Rotation.html,GlobeNewswire,2018-11-15T16:03:00.0000000Z
7,"In 2009, <b>Mercedes</b>-Benz became the first German premium car manufacturer ... following its announcement in <b>July</b> of becoming the first international automaker to receive a road test license for level 4 highly automated driving research vehicles in Beijing.",Daimler Accelerates Localization of <b>Mercedes</b>-Benz Products with Investment in New Tech Center China,https://www.webwire.com/ViewPressRel.asp?aId=231344,Webwire.com,2018-11-14T19:01:00.0000000Z
8,"In the <b>July</b> to September 2018 period, Tesla had managed to sell 3,383 units more than <b>Mercedes</b>-Benz in the United States courtesy of Model 3 Tesla has been making huge statement in the United States market as well as across the globe following the ...",Tesla Outsells <b>Mercedes</b>-Benz For The First Time In Its History,https://gaadiwaadi.com/tesla-outsells-mercedes-benz-us-third-quarter-2018/,gaadiwaadi.com,2018-11-14T05:28:00.0000000Z
9,"For the first time ever, Tesla sold more vehicles than <b>Mercedes</b>-Benz in a quarter. In the third quarter - <b>July</b> to September - of this year, the Silicon Valley automaker sold 69,925 Model 3, S and X while the German car giant sold 66,542 vehicles ...",Tesla Outsells <b>Mercedes</b>-Benz In America And BMW Is Next To Be Toppled,https://www.forbes.com/sites/jeanbaptiste/2018/10/09/tesla-outsells-mercedes-benz-in-america-and-bmw-is-next/,Forbes,2018-10-09T09:02:00.0000000Z
