,description,headline,url,provider,date
0,"Markus Schafer, a member of the divisional board of <b>Mercedes</b>-Benz cars, <b>manufacturing</b> and supply chain management said: &quot;With the opening of this R&amp;D center in Seoul, we know we are in the right ...",<b>Mercedes</b>-Benz Korea expands R&amp;D center,http://koreatimes.co.kr/www/nation/2018/11/419_258329.html,koreatimes.co.kr,2018-11-17T19:25:00.0000000Z
1,"For a long time now <b>Mercedes</b> was on top of the luxury German car <b>manufacturing</b>. There was always an S-Class somewhat better than anything else. More luxurious, with soul. <b>Mercedes</b> was so perfect at making land yachts that would take you to your destiny in ...",Can the new 8-Series challenge <b>Mercedes</b>&#39;s S-Class?,https://www.carthrottle.com/post/98l54br/,Car Throttle,2018-11-16T18:05:00.0000000Z
2,"Dubbed Factory 56, the new plant in Sindelfingen, Germany is about as far away from the traditional vision of <b>manufacturing</b> – or building cars in a tent – as you can imagine. Indeed, it’s an opportunity for <b>Mercedes</b> parent Daimler to push the ...",<b>Mercedes</b> reveals the 5G robot-filled factory for its most high-tech cars,https://www.slashgear.com/mercedes-benz-factory-56-5g-iot-production-line-s-class-eqc-16553943/,SlashGear,2018-11-16T15:48:00.0000000Z
3,"We have also offered Customized Services in the past for all the following famous brands: UNIQLO, GO Eyewear Group, Speedo, <b>Mercedes</b>-Benz ... investing on leading projects in the Eyeglasses <b>Manufacturing</b> business and carefully planning the future with ...",China Sunglasses Manufacturer Zhantai glasses wholesale factory – Glassesol,http://www.abnewswire.com/pressreleases/china-sunglasses-manufacturer-zhantai-glasses-wholesale-factory-glassesol_290829.html,AB Newswire,2018-11-15T16:47:00.0000000Z
4,"PM Modi urges US Defence industry to set up <b>manufacturing</b> base The ASEAN members are Brunei, Cambodia, Indonesia, Laos, Malaysia, Myanmar, the Philippines, Singapore , Thailand and Vietnam. Prime Minister Narendra Modi with US Vice President Mike Pence ...",<b>Mercedes</b> &quot;continue to raise bar&quot; in F1 - Hamilton,http://ps4france.com/2018/11/15/mercedes-continue-to-raise-bar-in-f1-hamilton.html,ps4france.com,2018-11-15T10:44:00.0000000Z
5,"At <b>Mercedes</b>-AMG Petronas Motorsport, a team of nearly 1,500 passionate, determined people works across two world-class technology campuses, designing, developing, <b>manufacturing</b> and racing the cars and Hybrid Power Units driven by Lewis Hamilton and team ...",TIBCO Congratulates <b>Mercedes</b>-AMG Petronas Motorsport on Securing the 2018 FIA Formula One World Constructors Championship,http://www.pressreleasepoint.com/tibco-congratulates-mercedes-amg-petronas-motorsport-securing-2018-fia-formula-one-world,KLAS Press Release,2018-11-15T05:16:00.0000000Z
6,"Devised by F/Nazca Saatchi &amp; Saatchi, the strategy integrates the efforts of the <b>Mercedes</b>-AMG brand and uses the automobile’s strength and power to obtain the main raw material of the band’s <b>manufacturing</b> process: tire rubber. Therefore, from today ...",<b>Mercedes</b>-Benz Unveils New Smart Watch with High-Octane Film,https://lbbonline.com/news/mercedes-benz-unveils-new-smart-watch-with-high-octane-film/,lbbonline.com,2018-11-14T14:55:00.0000000Z
7,"Before South Africans are able to buy <b>Mercedes</b>-Benz EVs they’re going to see hybrids in the local market, including the GLC 350e, S560e and the diesel hybrid C300de. The company has also invested R100 million in its hybrid <b>manufacturing</b> capabilities at ...",<b>Mercedes</b>-Benz confirms its EVs are coming to South Africa in 2019,https://stuff.co.za/mercedes-benz-ev-confirms-its-evs-are-coming-to-south-africa-in-2019/,stuff.co.za,2018-11-14T10:03:00.0000000Z
8,"Opened in 1956, the automaker’s plant assembles the <b>Mercedes</b>-Benz Accelo, Atego, Axor and Actros models, as well as gearboxes, axles, engines and bus chassis components….","In Brazil, Daimler’s truck <b>manufacturing</b> merges physical with digital",https://www.automotiveworld.com/articles/in-brazil-daimlers-truck-manufacturing-merges-physical-with-digital/,Automotive World,2018-11-14T06:42:00.0000000Z
9,The <b>Mercedes</b>-Petronas team collaborated with Autodesk to use generative design to design lightweight components that could meet high-performance requirements and be manufactured using existing subtractive <b>manufacturing</b> equipment. NASA JPL (Jet Propulsion ...,Check out the Gallery Exhibits in the AU Expo,https://labs.blogs.com/its_alive_in_the_lab/2018/11/check-out-the-au-expo.html,labs.blogs.com,2018-11-13T18:29:00.0000000Z
10,&quot;We know that Daimler expects its suppliers to deliver nothing but the highest-quality service and products for the <b>Mercedes</b>-Benz A-Class ... front-end modules per year at 25 just-in-sequence <b>manufacturing</b> facilities and eight development sites in North ...,HBPO Opens Plant To Support Daimler Assembly Operations In Mexico,https://www.marketwatch.com/press-release/hbpo-opens-plant-to-support-daimler-assembly-operations-in-mexico-2018-11-13,MarketWatch,2018-11-13T14:00:00.0000000Z
11,"In fact, it also uses the Petronas Fluid Technology Solutions expertise that is being used by the successful <b>Mercedes</b>-AMG Petronas Formula 1 team,&quot; he added.",Petronas refinery to boost Euro5 diesel output for domestic use,https://www.carsifu.my/news/petronas-refinery-to-boost-euro5-diesel-output,CarSifu,2018-11-13T11:14:00.0000000Z
12,"The <b>Mercedes</b>-Benz plant at Gaggenau has set another milestone ... Dr. Frank Reintjes, Head of Global Powertrain, E-Mobility &amp; <b>Manufacturing</b> Engineering Daimler Trucks acknowledged this very special achievement: &quot;Five million transmissions &#39;Made in Gaggenau ...",<b>Mercedes</b>-Benz’s Gaggenau plant produces its 5 millionth CV transmission,http://www.autocarpro.in/news-international/mercedesbenz%E2%80%99s-gaggenau-plant-produces-its-5-millionth-cv-transmission-41289,Autocar Pro,2018-11-13T05:51:00.0000000Z
13,"Worldwide truck <b>manufacturing</b> market is expanding greatly because of ... Daimler functions with its underlings Mitsubishi Fuso, Western Star, Freightliner and <b>Mercedes</b> Benz. Volvo’s underlings include Renault Trucks, Volvo, UD Trucks and Mack.",Truck <b>Manufacturing</b> Market Set to Witness Y-o-Y Growth by 2025,https://www.openpr.com/news/1363298/Truck-Manufacturing-Market-Set-to-Witness-Y-o-Y-Growth-by-2025.html,openpr.com,2018-11-12T23:33:00.0000000Z
14,"A self-driving smart electric car may sound like a phrase from a distant future, but with the assistance of IoT technology, it is already here with luxury car brands like <b>Mercedes manufacturing</b> prototypes. The revolutionary IoT movement that powers the ...",Implementation of the IoT in Transportation: Autonomous Vehicles,https://www.iotevolutionworld.com/autonomous-vehicles/articles/440238-implementation-the-iot-transportation-autonomous-vehicles.htm,iotevolutionworld.com,2018-11-12T20:35:00.0000000Z
15,"The transmissions are fitted in seven Daimler Truck and Bus brands: <b>Mercedes</b>-Benz, Setra ... founded in 1894 as Bergmann-Industriewerke GmbH and is the oldest automotive <b>manufacturing</b> plant in the world.",Daimler Gaggenau plant makes CV transmission #5m,https://www.just-auto.com/news/daimler-gaggenau-plant-makes-cv-transmission-5m_id185615.aspx,Just Auto,2018-11-12T16:43:00.0000000Z
16,"This isn&#39;t done to trick you or anything; it&#39;s a <b>manufacturing</b> practice that&#39;s targeted to cut ... The gearbox is 7DCL750, and it&#39;s also found inside Ferraris (California and 458) and <b>Mercedes</b>-AMGs (GT and SLS), mainly for the high-torque application ...",Ford GT uses same gearbox as <b>Mercedes</b>-AMG GT; costs double,https://sg.news.yahoo.com/ford-gt-uses-same-gearbox-111601547.html,Yahoo News Singapore,2018-11-11T11:49:00.0000000Z
17,"Daimler, based also in Germany, is globally active in the development, <b>manufacturing</b> and distribution of automotive products, mainly passenger cars, trucks, vans and buses, through its divisions <b>Mercedes</b>-Benz Cars, Daimler Trucks, <b>Mercedes</b>-Benz Vans ...","Mergers: Commission clears the creation of six joint ventures by Daimler and BMW, subject to conditions",http://www.pressreleasepoint.com/mergers-commission-clears-creation-six-joint-ventures-daimler-and-bmw-subject-conditions,KLAS Press Release,2018-11-08T21:15:00.0000000Z
