,description,headline,url,provider,date
0,"Therefore let’s take a look at these six hassle-free, yet sufficiently premium cars from the used <b>car</b> market. The Corolla is the best selling <b>Toyota</b> product till date, thanks to its refined petrol engine along with a comfortable and feature-laden cabin.","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury cars at the price of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
1,"DETROIT — Ford, <b>Toyota</b>, General Motors and Nissan received strong ratings in the Rainbow PUSH Coalition&#39;s 2018 <b>Automotive</b> Diversity Scorecard released this month. The coalition also praised Hyundai, which has vaulted to No. 4 in the industry in minority ...","Ford, <b>Toyota</b> recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
2,Both cars get <b>Toyota</b>&#39;s 3.5-liter V6 engine ... Lamborghini&#39;s racing arm builds wild one-off to combat Ferrari Monza The SC18 was developed with input from the <b>car</b>&#39;s owner and they apparently wanted a Grigio Daytona grey exterior with red accents.,<b>Toyota</b> Camry and Avalon get the TRD treatment,http://cybersecuritycaucus.com/2018/11/toyota-camry-and-avalon-get-the-trd-treatment/,cybersecuritycaucus.com,2018-11-18T01:23:00.0000000Z
3,"<b>Toyota</b> says the TRD engineers have developed the dynamic characteristics ... against Max Verstappen next year Lewis Hamilton names this year&#39;s Mercedes as the <b>auto</b> he has enjoyed driving the most, as it has allowed him to extract extra performance from ...",<b>Toyota</b> Camry and Avalon TRDs are enthusiast-focused Toyotas,http://precisionresearchandconsulting.com/2018/11/toyota-camry-and-avalon-trds-are-enthusiast-focused-toyotas/,precisionresearchandconsulting.com,2018-11-17T23:09:00.0000000Z
4,Their latest attempt involves <b>Toyota</b> Racing Development (TRD) to work their magic on these two sedans. The end result is the Camry and Avalon TRD which will be showing up at the LA <b>Auto</b> Show in a couple of weeks. The changes begin under the skin as TRD ...,2020 <b>Toyota</b> Avalon and Camry TRD Hope To Kiss Boring Good-Bye,https://www.cheersandgears.com/articles/auto-show-news/la-auto-show/2020-toyota-avalon-and-camry-trd-hope-to-kiss-boring-good-bye-r5395/,cheersandgears.com,2018-11-17T21:43:00.0000000Z
5,"Like every automaker that’s worth its salt, <b>Toyota</b>’s bottom line is the most important thing the company has to take care of. And, with the U.S. <b>car</b> market experiencing a shift in demand the likes of which we haven’t seen in a long time, the Japanese ...",Here Are the Cars <b>Toyota</b> Might Kill Off,https://www.topspeed.com/cars/car-news/here-are-the-cars-toyota-might-kill-off-ar183366.html,Top Speed,2018-11-17T17:15:00.0000000Z
6,The no7 <b>Toyota</b> Gazoo Racing TS050 Hybrid will start the 6 Hours of ... RSR of Kevin Estre and Michael Christensen in fourth spot and four tenths behind the pole <b>car</b>. The no51 AF Corse Ferrari of reigning world champions James Calado and Alessandro Pier ...,WEC Shanghai: <b>Toyota</b> claim front row lockout,https://www.grandprix247.com/2018/11/17/wec-shanghai-toyota-claim-front-row-lockout/,grandprix247,2018-11-17T15:46:00.0000000Z
7,FAIRFIELD — Six of the seven Momentum <b>Auto</b> Group dealerships in Fairfield were closed this week in what has been suggested to be a prelude to a possible sale. A sales representative at the <b>Toyota</b> dealership confirmed in the late morning Friday it was ...,6 of 7 Momentum <b>Auto</b> Group dealerships shut down in Fairfield,https://www.dailyrepublic.com/all-dr-news/solano-news/fairfield/6-of-7-momentum-auto-group-dealerships-shut-down-in-fairfield/comment-page-1/,Daily Republic,2018-11-17T13:58:00.0000000Z
8,"Most notably, the 2019 Corolla Hatchback that was introduced earlier this year at the New York <b>Auto</b> Show already rides on TNGA. TNGA gives the Corolla more agility in addition to what <b>Toyota</b> says is the sedan&#39;s quietest and smoothest ride to date.","More power, style for compact sedan — <b>Toyota</b> Corolla unveiled",http://techkenyot.com/2018/11/16/more-power-style-for-compact-sedan-toyota-corolla-unveiled/,techkenyot.com,2018-11-17T13:41:00.0000000Z
9,"With its potential points haul, <b>Toyota</b> is also looking good to secure the Manufacturers ... Unlike his teammate, Latvala only took one spare wheel, preferring the balance of the <b>car</b> with less weight, but the Finn regretted the decision when his tires ...",Tanak leads Rally Australia; Ogier closing on title,https://racer.com/2018/11/17/tanak-leads-rally-australia-ogier-closing-on-title/,Racer,2018-11-17T13:18:00.0000000Z
10,"Here&#39;s how I voted for <b>car</b>, truck and utility of the year How I voted for NACTOY finalists, and why the <b>Toyota</b> RAV4, Nissan Altima, VW Jetta, Hyundai Kona, Volvo S60, Jeep Wrangler and Jag I-Pace made cut. Check out this story on Freep.com: https://www ...","Here&#39;s how I voted for <b>car</b>, truck and utility of the year",https://www.freep.com/story/money/cars/mark-phelan/2018/11/17/nactoy-finalists-vote/2008865002/,Detroit Free Press,2018-11-17T12:51:00.0000000Z
11,<b>Toyota</b> Motorsport GmbH technical director Pascal Vasselon told Motorsport.com: &quot;It was always in the plan to do three runs with three new sets of tyres with each <b>car</b>. &quot;We knew we had to because it ...,<b>Toyota</b> needed extra runs to counter privateer threat,https://sports.yahoo.com/toyota-needed-extra-runs-counter-122640942.html,Yahoo Sports,2018-11-17T12:45:00.0000000Z
12,"A TRD-badged shift knob completes the look. 2020 <b>Toyota</b> Avalon TRD The Avalon TRD and Camry TRD go on sale in fall 2019. Before that, the vehicles will debut at the L.A. <b>Auto</b> Show.",<b>Toyota</b> Introduces Avalon and Camry TRD,http://internetdo.com/technology/toyota-introduces-avalon-and-camry-trd.html,internetdo.com,2018-11-17T11:33:00.0000000Z
13,"(Nov. 16, 2018)-- Today in Huntsville, the first shovel of dirt was turned on what will become a jointly owned-and-operated <b>automotive</b> production plant that will have the capacity to build 300,000 vehicles a year, beginning in 2021. Mazda <b>Toyota</b> ...",Mazda <b>Toyota</b> Plant Paving the Way for Groundbreaking Future,http://www.pressreleasepoint.com/mazda-toyota-plant-paving-way-groundbreaking-future,KLAS Press Release,2018-11-17T10:16:00.0000000Z
14,<b>Toyota</b> Gazoo Racing locked out the front row ... 1:42.931 while the FIA World Endurance Championship-leading No. 8 <b>car</b> of Fernando Alonso and Kazuki Nakajima followed 0.228 seconds behind.,<b>Toyota</b> Resists Rebellion to Take 6H Shanghai Pole,https://sportscar365.com/lemans/wec/toyota-resists-rebellion-to-take-6h-shanghai-pole/,Sportscar365,2018-11-17T07:12:00.0000000Z
15,<b>Toyota</b> says the new interior has an &quot;elevated feeling of quality ... The initial line up will present the <b>auto</b> in Sporty and Prestige forms.,<b>Toyota</b> Corolla sedan gets a bold new look in its 12th generation,http://nhltradereport.com/2018/11/17/toyota-corolla-sedan-gets-a-bold-new-look-in-its-12th.html,NHL Trade Report,2018-11-17T06:09:00.0000000Z
