,description,headline,url,provider,date
0,"The M2 <b>Competition</b> is the most affordable M car in India and you can see the full report here. New <b>Mercedes</b>-Benz CLS launched, C-Class petrol to follow soon The sharper-looking, all-new <b>Mercedes</b>-Benz CLS 4-door coupe has been launched in India. Available ...","Car News Of The Week: 2019 Corolla, Alturas G4, 2018 Ertiga, New BMW &amp; <b>Mercedes</b> Launches And More",https://www.zigwheels.com/news-features/news/car-news-of-the-week-2019-corolla-alturas-g4-2018-ertiga-new-bmw-mercedes-launches-and-more/32339/,ZigWheels,2018-11-18T06:17:00.0000000Z
1,"Farfus scored his fourth Macau main race win and first in GT <b>competition</b> at the Guia Circuit. Edoardo Mortara completed the podium in third in the No. 1 <b>Mercedes</b>, ahead of the No. 912 Manthey ...","Farfus, BMW Win Emotional FIA GT World Cup in Macau",https://sportscar365.com/other-series/gt-world-cup/farfus-bmw-win-emotional-fia-gt-world-cup-in-macau/,Sportscar365,2018-11-18T05:17:00.0000000Z
2,"Leigh entered the final round of the second season of the <b>competition</b> with a commanding lead in the drivers’ championship, with his <b>Mercedes</b> team also leading the teams’ standings. Sauber driver Salih Saltunc took his maiden F1 Esports victory when he ...","Leigh defends F1 Esports crown, <b>Mercedes</b> wins inaugural teams’ title",https://in.news.yahoo.com/leigh-defends-f1-esports-crown-231755405.html,Yahoo! India News,2018-11-17T23:56:00.0000000Z
3,"Leigh entered the final round of the second season of the <b>competition</b> with a commanding lead in the drivers&#39; championship, with his <b>Mercedes</b> team also on top of the teams&#39; standings. Sauber driver Salih Saltunc took his maiden F1 Esports victory when he ...",F1 Esports final: <b>Mercedes</b> and Brendon Leigh win 2018 titles,https://www.autosport.com/esports/news/140144/mercedes-leigh-retains-f1-esports-title,Autosport,2018-11-17T23:18:00.0000000Z
4,"<b>Mercedes</b> made it five constructors championships in a row ... The driver&#39;s championship gets more a spotlight in the media and by the fans, but this is the <b>competition</b> which the teams care about the most, as it&#39;s the one which defines how much prize ...",F1 Teams with the Most Constructors&#39; World Championship Titles,https://www.sportskeeda.com/f1/f1-teams-with-the-most-constructors-world-championship-titles,Sportskeeda,2018-11-17T19:32:00.0000000Z
5,"The M2 is the entry-level M model and this is the first time it is officially on sale in India. The M2 <b>Competition</b> rivals against the likes of <b>Mercedes</b>-AMG CLA45, Porsche 718 Cayman, Audi TT and Jaguar F-Type V6 Coupe. BMW launched the M2 <b>Competition</b> in ...",BMW launched the M2 <b>Competition</b> in India at Rs 79.9 lakhs,https://www.msn.com/en-in/autos/news/bmw-launched-the-m2-competition-in-india-at-rs-799-lakhs/ar-BBPMjRG,CarTrade,2018-11-16T14:50:00.0000000Z
6,"Lewis Hamilton predicts <b>Mercedes</b> will enjoy &quot;a great knock-on effect&quot; for 2019 after clinching its fifth consecutive Formula 1 title double in the face of increased <b>competition</b> from Ferrari. Hamilton&#39;s Brazilian Grand Prix victory last weekend, coupled ...",Hamilton says 2018 title will have great 2019 &quot;knock-on effect&quot;,https://www.motorsport.com/f1/news/hamilton-mercedes-knock-on-2019/3214100/,Motorsport,2018-11-16T17:34:00.0000000Z
7,"We gave you the option of six epic on-track tussles to choose from, with one going through to represent F1 in the FIA’s annual ‘Action of the Year’ <b>competition</b> ... produced a magnificent overtake on <b>Mercedes</b> rival Bottas. Until the last second ...",Ricciardo’s daring China pass on Bottas wins F1 ‘Action of the Year’ accolade,https://www.formula1.com/en/latest/article.ricciardo's-daring-china-pass-on-bottas-wins-f1-'action-of-the-year'.17WasIhIVc4MkYEoUyEwyQ.html,Formula 1,2018-11-16T17:32:00.0000000Z
8,You can also find excellent manufacturer incentives on our Lexus deals page. Lexus LX Versus the <b>Competition</b> Which Is Better: Lexus LX or <b>Mercedes</b>-Benz GLS? The <b>Mercedes</b>-Benz GLS sits near the top of the class rankings because it&#39;s one of the best ...,2019 Lexus LX: What You Need to Know,https://www.msn.com/en-us/autos/reviews/2019-lexus-lx-what-you-need-to-know/ar-BBPOgSp,US News &amp; World Report - Cars,2018-11-17T21:43:00.0000000Z
9,"<b>Mercedes</b> and Ferrari were neck-and-neck for more than half the season but a golden run of form, led by Hamilton, put <b>Mercedes</b> in the clear and allowed it to wrap up the both drivers&#39; and constructors&#39; championships for the fifth season in a row. &quot;We win ...",Hamilton: Title will have huge 2019 &#39;knock-on&#39;,https://www.eurosport.com/formula-1/hamilton-title-will-have-huge-2019-knock-on_sto7014268/story.shtml,Eurosport,2018-11-16T16:19:00.0000000Z
10,Lewis Hamilton predicts <b>Mercedes</b> will enjoy &quot;a great knock-on effect&quot; for 2019 from clinching its fifth consecutive Formula 1 title double in the face of increased <b>competition</b> from Ferrari.,Lewis Hamilton: <b>Mercedes</b>&#39; F1 titles will have huge 2019 &#39;knock-on&#39;,https://uk.sports.yahoo.com/news/lewis-hamilton-mercedes-apos-f1-152107472.html,Yahoo Sports,2018-11-16T15:36:00.0000000Z
11,"For half a decade now, <b>Mercedes</b> have dominated the world of motorsports ... And when they reached the top, they decimated the <b>competition</b>. The numbers tell the story. They are just the second team in history after Ferrari to win five consecutive titles.",F1 Timeline: <b>Mercedes</b>&#39; rise to dominance,https://www.sportskeeda.com/f1/f1-timeline-mercedes-rise-to-dominance,Sportskeeda,2018-11-16T13:14:00.0000000Z
12,"GUANGZHOU, China -- Volvo&#39;s performance electric-vehicle subbrand Polestar sees China as its greatest opportunity even as it&#39;s set to face stiff <b>competition</b> ... brands such as <b>Mercedes</b>-Benz ...",Volvo&#39;s Polestar targets China opportunity despite Tesla <b>competition</b>,http://europe.autonews.com/article/20181116/ANE/181119794/volvos-polestar-targets-china-opportunity-despite-tesla-competition,Automotive News Europe,2018-11-16T13:14:00.0000000Z
