,description,headline,url,provider,date
0,"But Nissan&#39;s outlays were still above the industry average of $3,734 per vehicle. By contrast, U.S. incentives at Japanese rivals <b>Toyota</b>, Honda, Mazda, Subaru and even Mitsubishi were all below average for the first 10 months of the year. Karube said the ...",Nissan&#39;s U.S. profit push bogs down as sales slow,http://www.autonews.com/article/20181118/OEM/181119765/nissan-sales-profit-us-hiroshi-karube,Automotive News,2018-11-18T05:06:00.0000000Z
1,"LAS VEGAS -- Jack Beckman topped Funny Car qualifying Friday in the NHRA <b>Toyota</b> Nationals at The Strip ... Clay Millican led in Top Fuel, Greg Anderson in Pro <b>Stock</b>, and Eddie Krawiec in Pro ...",Jack Beckman tops NHRA Funny Car qualifying in Las Vegas,http://espn.com/racing/nhra/story/_/id/25093299/jack-beckman-tops-nhra-funny-car-qualifying-las-vegas,ESPN,2018-11-18T01:25:00.0000000Z
2,"Some major automakers, such as <b>Toyota</b>, are investing heavily in electric vehicles and ... produces lead-acid batteries used in both conventional and electric vehicles. This <b>stock</b> offers investors the opportunity to invest generally in the production ...",The Best Way to Get Exposure to Electric Cars When Investing in the Automotive Sector,https://www.investopedia.com/ask/answers/041515/what-best-way-get-exposure-electric-cars-when-investing-automotive-sector.asp,Investopedia,2018-11-17T21:53:00.0000000Z
3,"That’s not the story necessarily that we want whenever we hear a truck race is <b>OEM</b> engine of ‑‑ we do want to hear about <b>Toyota</b> versus Ford versus Chevy, but when an alternate engine comes into the discussion as much as it has, that isn’t ...",Ford Performance NASCAR: Mark Rushbrook <b>OEM</b> Transcript,http://www.speedwaymedia.com/2018/11/17/ford-performance-nascar-mark-rushbrook-oem-transcript/,SpeedwayMedia,2018-11-17T18:09:00.0000000Z
4,"As a result, both cars sit 0.6 inches lower to the ground than their <b>stock</b> counterparts. The 2020 <b>Toyota</b> Camry TRD also gets chassis improvements, with beefier front and rear sway bars and thicker underbody braces. That means the Camry TRD is 44 percent ...",The 2020 <b>Toyota</b> Avalon TRD and Camry TRD Leave Their Boring Reputation Behind [News],https://www.tflcar.com/2018/11/2020-toyota-camry-trd-avalon-trd/,The Fast Lane Car,2018-11-16T21:41:00.0000000Z
5,"As he has done for the majority of the season, fellow championship finalist Johnny Sauter had been complaining about Hattori’s usage of the <b>Toyota</b>-Gibbs ... de-powering the <b>OEM</b> engine.",Johnny Sauter and Hattori Racing&#39;s crew chief trade jabs before NASCAR Trucks Championship,https://autoweek.com/article/nascar/johnny-sauter-and-hattori-racings-crew-chief-trade-jabs-nascar-trucks-championship,Autoweek,2018-11-16T18:55:00.0000000Z
6,"Some of the major players profiled in the report are Renault-Nissan Alliance, Mitsubishi Motors Corporation, General Motors Company, <b>Toyota</b> Motor Corporation ... the U.S., had the world’s largest country <b>stock</b> of plug-in electric passenger cars until ...",Analysis of New Energy Vehicles Industry Policy in China’s Cities from the Perspective of Policy instruments,http://www.tampabayreview.com/news/business/analysis-new-energy-vehicles-industry-policy-chinas-cities-perspective-policy-instruments/58143/,tampabayreview.com,2018-11-16T18:54:00.0000000Z
7,"<b>Toyota</b> will use the upcoming 2018 Los Angeles auto show to ... Both TRD specials are powered by a <b>stock</b> 3.5-liter V-6 generating 301 horsepower and benefiting from a cat-back exhaust system that delivers a throatier soundtrack. An eight-speed, paddle ...","2020 <b>Toyota</b> Camry, Avalon receive TRD treatment",https://www.motorauthority.com/news/1119701_2020-toyota-camry-avalon-receive-trd-treatment,Motor Authority,2018-11-16T13:55:00.0000000Z
8,"<b>OEM</b> and IP = original equipment manufacturer and intellectual ... In auto, it announced its &quot;first Level-2 autopilot design wins with <b>Toyota</b>, Volvo, and Isuzu Motors.&quot; (On the Society of Automotive Engineers&#39; 0-5 scale for levels of automation, Level ...","NVIDIA&#39;s Earnings Were Solid, but <b>Stock</b> Plunges 17% on Weak Outlook Due to &quot;Crypto Hangover&quot;",https://www.msn.com/en-us/finance/companies/nvidias-earnings-were-solid-but-stock-plunges-17-25-on-weak-outlook-due-to-crypto-hangover/ar-BBPMeka,The Motley Fool,2018-11-16T14:15:00.0000000Z
9,"Brian France did not ask to be born into <b>stock</b> car racing’s first family ... one of these scandals would have proved far too embarrassing to survive. (Surely the bigwigs at <b>Toyota</b>, a Nascar manufacturer, cringed when they read that France was pulled ...",It’s time for troubled scion Brian France to let Nascar go,http://samfordcrimson.com/20181116-its-time-for-troubled-scion-brian-france-to-let-nascar-go/,The Samford Crimson,2018-11-16T10:59:00.0000000Z
10,"For more information about <b>Toyota</b>, visit www.toyotanewsroom.com. Stocks you&#39;ve viewed will appear in this box, letting you easily return to quotes you&#39;ve seen previously. Register now to create your own custom streaming <b>stock</b> watchlist. NYSE, AMEX ...",All-New 2020 <b>Toyota</b> Corolla Ready To Rock The Sedan World,https://ih.advfn.com/p.php?pid=nmona&article=78703912,ih.advfn.com,2018-11-16T02:00:00.0000000Z
11,"The manufacturer engines are out and specs are in for the four contenders. &quot;We would get slaughtered with an <b>OEM</b> engine,&quot; <b>Toyota</b> Racing Development President David Wilson said. It should be even under the hoods for the title contenders in Sunday&#39;s ...","Moffitt, Gragson, Sauter, Haley race for NASCAR Truck title",http://www.espn.com/espn/wire?section=rpm&id=25287610,ESPN,2018-11-15T22:27:00.0000000Z
12,"They have great customers in BMW, Tesla, and <b>Toyota</b>, let alone most smartphone makers in the world. Apple is their biggest customer by far. And that is probably right to the point of why the <b>stock</b> fell. Everyone&#39;s talking about Apple iPhone sales units ...",Was Skyworks Solutions&#39; <b>Stock</b> Slide Overdone?,https://www.msn.com/en-us/finance/topstocks/was-skyworks-solutions-stock-slide-overdone/ar-BBPKsFf,The Motley Fool,2018-11-15T18:55:00.0000000Z
13,"Overall, <b>Toyota</b>-supported drivers now have won nine NHRA world championships ... I feel like it’s only going to get better.” Pro <b>Stock</b> racer Gray, 19, also made history as the youngest NHRA world champion. A resident of Mooresville, N.C., Gray ...",Litton Is Top NHRA Rookie At 61,http://www.racintoday.com/archives/63362,Racin&#39; Today,2018-11-15T14:43:00.0000000Z
14,"We discovered retail is not as simple as putting 200 items in a <b>Toyota</b> Highlander ... Cargo uses its data to <b>stock</b> the boxes, so a late-night driver is more likely to have a hangover cure. Likewise, some products perform better in specific markets.",Your Next Uber Ride May Have a Minifridge Stocked With Snacks,https://www.bloomberg.com/news/articles/2018-11-15/cargo-deal-with-venmo-puts-hangover-cures-in-uber,Bloomberg L.P.,2018-11-15T13:14:00.0000000Z
15,which until recently was considered rare without tapping <b>stock</b> markets. Its most recent investment—a $500 million injection from Japanese auto giant <b>Toyota</b>—was made at a reported valuation of ...,Uber loss tops $1 bn as it seeks to diversify,https://phys.org/news/2018-11-uber-loss-tops-bn-diversify.html,Phys.org,2018-11-15T07:55:00.0000000Z
16,"<b>Toyota</b> issued a teaser of the new sedan Corolla twelfth generation ... the first increase after the longest stretch of daily declines since 1984. ET, the Toronto <b>Stock</b> Exchange&#39;s S&amp;P/TSX composite index was down 117.76 points, or 0.77 per cent, at ...",<b>Toyota</b> Corolla sedan to be unveiled this week,http://hbucollegian.com/2018/11/toyota-corolla-sedan-to-be-unveiled-this-week/,The Collegian,2018-11-15T06:31:00.0000000Z
17,Many <b>OEM</b> engine suppliers have put effort into converting and building engines that use alternative fuels like natural gas to lower emissions. <b>Toyota</b> Motor Corporation took a different direction and developed an upsized version of the hydrogen fuel-cell ...,Detonation: A Future for Trucks,http://www.trucktrend.com/features/1811-detonation-a-future-for-trucks/,Truck Trend,2018-11-14T23:08:00.0000000Z
18,"And while drivers everywhere praise <b>Toyota</b> (NYSE:TM) for producing reliable cars, their equity has also dropped into double-digit losses. The NIO <b>stock</b> price isn’t above the automotive volatility.","Despite the Discount, Nio <b>Stock</b> Isn’t Appealing Enough",https://finance.yahoo.com/news/despite-discount-nio-stock-isn-162923301.html,Yahoo Finance,2018-11-14T21:45:00.0000000Z
19,"Plus, when repairing or replacing a component, the staff indicate that they use genuine <b>Toyota</b> parts, as well as <b>OEM</b> parts for other vehicle makes. The Royal South <b>Toyota</b> Collision Center features top-notch tools and is staffed by over 23 Factory Trained ...",Experience Great Service at the Royal South <b>Toyota</b> Service Center,http://stocks.newsok.com/newsok/news/read?GUID=37292867,stocks.newsok.com,2018-11-14T20:15:00.0000000Z
20,"In a series of five videos, racing analyst and TV host Rutledge Wood hosts a number of <b>Toyota</b>-sponsored NASCAR personalities for their takes on the two hotted-up sedans. The videos get you ready for aero packages you&#39;d never expect to see on a <b>stock</b> <b>Toyota</b>.",<b>Toyota</b> shows off Camry TRD and Avalon TRD before the LA Auto Show,https://www.autoblog.com/2018/11/14/toyota-camry-trd-avalon-trd-video/,Autoblog,2018-11-14T19:38:00.0000000Z
21,"Ford and <b>Toyota</b> had the most models named as having the best certified ... manufacturer while also applying mileage requirements necessary to be authorized as an <b>OEM</b> CPO vehicle. Each CPO vehicle was evaluated in all 50 states and Washington, D.C., with ...","Ford, <b>Toyota</b> Top Best Pre-Owned Value List",https://www.automotive-fleet.com/319287/ford-toyota-top-best-pre-owned-value-list,Automotive Fleet,2018-11-14T02:44:00.0000000Z
22,"It was a mixed finish in Asia today. While Japan&#39;s Nikkei plunged 2.1% as Apple supplier TDK tumbled and car stocks <b>Toyota</b> and Honda dropped on reports the Trump administration is considering a new round of auto tariffs, South Korea&#39;s Kospi shed 0.4% as ...","Home Depot, China Trade Optimism Powering <b>Stock</b> Futures Higher",https://www.schaeffersresearch.com/content/ezines/2018/11/13/home-depot-china-trade-optimism-powering-stock-futures-higher,Schaeffers Research,2018-11-14T01:56:00.0000000Z
23,"The list of the biggest contributors to the Topix’s decline since January includes carmakers <b>Toyota</b> Motor Corp. and Honda Motor Co ... Both companies, often <b>stock</b> market darlings in better times, have lost at least 17 percent since Jan. 23.",Trade War Looms Over Japanese Stocks as Topix Nears Bear Market,https://www.theepochtimes.com/trade-war-looms-over-japanese-stocks-as-topix-nears-bear-market_2714977.html,Epoch Times,2018-11-14T01:35:00.0000000Z
24,"Shares of <b>Toyota</b> Motor Corp (NYSE:TM) have been assigned an average recommendation of “Hold” from the eight brokerages that are presently covering the firm, Marketbeat reports. One equities research analyst has rated the <b>stock</b> with a sell rating ...",Analysts Set <b>Toyota</b> Motor Corp (TM) Target Price at $130.00,https://theenterpriseleader.com/2018/11/12/analysts-set-toyota-motor-corp-tm-target-price-at-130-00.html,theenterpriseleader.com,2018-11-14T00:49:00.0000000Z
25,"<b>Toyota</b> has been using their Twitter Page to drop a series of ... In the meantime, why not see what we think of the new Avalon in a more <b>stock</b> configuration, by checking out the video below:",The <b>Toyota</b> Camry and Avalon TRD Show Their Faces – And Shred Some Rubber – Before 2018 LA Auto Show [News],https://www.tflcar.com/2018/11/toyota-camry-avalon-trd-reveal/,The Fast Lane Car,2018-11-14T00:41:00.0000000Z
