,description,headline,url,provider,date
0,"On <b>December</b> 1, participants of the run ... and see how maybe there can be an exception for quality classic cars,” he said. Both the BMW and <b>Mercedes</b> club leaders have in place a strict vetting mechanism for new members, who have to pay a registration ...","Not a petrolhead? Sorry, this club isn’t for you",https://www.nation.co.ke/news/Not-a-petrolhead--Sorry--this-club-isn-t-for-you/1056-4856948-sn6p18/index.html,Daily Nation,2018-11-18T06:26:00.0000000Z
1,"It is a similar style of indicator which is seen in expensive SUVs from Audi, BMW and <b>Mercedes</b>. Aditya says – “On 19th October, I encountered Tata Harrier on Roads of Pune and it was testing the dual tone LED DRLs with Orange indicators embedded in it.","Tata Harrier LED DRL will also be turn indicator – Similar to Audi, <b>Mercedes</b> SUVs",https://www.rushlane.com/tata-harrier-led-drl-will-also-be-turn-12287065.html,Rushlane.com,2018-11-18T02:46:00.0000000Z
2,"Ravens, Sunday <b>December</b> 2 1:00 p.m. Week 14: Falcons @ Packers, Sunday <b>December</b> 9 1:00 p.m. Week 15: Falcons vs. Cardinals, Sunday <b>December</b> 16 1:00 p.m. Week 16: Falcons @ Panthers, Sunday <b>December</b> 23 1:00 p.m. Week 17: Falcons @ Buccaneers, Sunday ...","Falcons vs. Cowboys: Channel, announcers, kickoff times, odds and more for Week 11",https://www.thefalcoholic.com/2018/11/16/18096829/falcons-vs-cowboys-channel-announcers-kickoff-times-odds-and-more-for-week-11,The Falcoholic,2018-11-16T13:47:00.0000000Z
3,"<b>Mercedes</b>-Benz USA (MBUSA) is recalling 119 model year 2019 ... The recall is expected to begin <b>December</b> 28, 2018. Owners may contact MBUSA customer service at 1-800-367-6372. Get the news you need delivered right to you! Join over 300,000 subscribers ...",<b>Mercedes</b>-Benz recalls model year 2019 vehicles with powertrain issue,https://www.consumeraffairs.com/news/mercedes-benz-recalls-model-year-2019-vehicles-with-powertrain-issue-111618.html,ConsumerAffairs,2018-11-16T13:04:00.0000000Z
4,"The new B-Class can be ordered from 3 <b>December</b> 2018, with delivery due to begin in February 2019. The <b>Mercedes</b>-Benz Rastatt plant in Germany is the biggest employer in the region, with a workforce of around 6,500 employees. Within the global <b>Mercedes</b> ...",Continuation of ramp-up cascade of next-generation compact cars: <b>Mercedes</b>-Benz Rastatt plant starts production of the new B-Class,https://www.automotiveworld.com/news-releases/continuation-of-ramp-up-cascade-of-next-generation-compact-cars-mercedes-benz-rastatt-plant-starts-production-of-the-new-b-class/,Automotive World,2018-11-16T12:14:00.0000000Z
5,"Peter Tuccio, Jonathan Gurino and Gino Gabrielli chased down the businessman in <b>Dec</b>. 2015 after seeing him leave a Howard ... about a Gambino capo he owed money to and made mention of his <b>Mercedes</b>. Later that night, the man watched his car burn.","Gambinos set businessman&#39;s <b>Mercedes</b> ablaze while trying to collect a debt, feds charge",https://www.nydailynews.com/news/crime/ny-metro-gambino-torch-111618-story.html,New York Daily News,2018-11-16T10:00:00.0000000Z
6,"Zieringer, 50, led <b>Mercedes</b>-Benz Bank before taking over ... the transition to a new leadership team before he retires in <b>December</b>, the company said in a statement Thursday. From May to <b>December</b> ...",Daimler Financial gets new Europe boss,http://europe.autonews.com/article/20181115/COPY/311159849/daimler-financial-gets-new-europe-boss,Automotive News Europe,2018-11-16T09:38:00.0000000Z
7,"This year, Santa will be at Stoneridge Shopping Center (1 Stoneridge Mall Road) through <b>Dec</b>. 24, after he was escorted to the mall by the Pleasanton Police Department and <b>Mercedes</b>-Benz of Pleasanton on Nov. 3. Santa will be available for photos from 11 a.m ...",Holiday happenings: Entertainment and celebrations abound in Tri-Valley,https://danvillesanramon.com/news/2018/11/15/holiday-happenings-entertainment-and-celebrations-abound-in-tri-valley,DanvilleSanRamon,2018-11-16T05:17:00.0000000Z
8,"Everyone who has their photo taken with Santa can enter a raffle to win a prize from <b>Mercedes</b>-Benz of Greenwich. A lucky winner will be named on <b>December</b> 24. In addition, children can enter the ...",Live Reindeer Return To Greenwich Nov. 23,https://patch.com/connecticut/greenwich/live-reindeer-return-greenwich-nov-23,USA Patch,2018-11-15T11:00:00.0000000Z
9,"the third and fourth concertos on <b>December</b> 6, 7, and 8; and the final two concertos on February 1 and 2. Featured Utah Symphony concertante soloists on Brandenburg Concerto No. 2 are Principal Flute <b>Mercedes</b> Smith, Principal Oboe James Hall, Principal ...",Thierry Fischer And Utah Symphony Continue 2018-19 Season With Cycle Of All Six Of J.S. Bach&#39;s Brandenburg Concertos,https://www.broadwayworld.com/salt-lake-city/article/Thierry-Fischer-And-Utah-Symphony-Continue-2018-19-Season-With-Cycle-Of-All-Six-Of-JS-Bachs-Brandenburg-Concertos-20181113,BroadwayWorld,2018-11-13T23:48:00.0000000Z
10,It has since been copied by others in the industry such as <b>Mercedes</b>-Benz and GMC ... “We wanted to capture this idea that a ‘<b>December</b> to Remember’ with Lexus has the potential to create unforgettable moments that last all year round.”,Lexus Launches Key Holiday Advertising Campaign,http://www.thedetroitbureau.com/2018/11/lexus-launches-key-holiday-advertising-campaign/,TheDetroitBureau,2018-11-13T19:03:00.0000000Z
11,"Citing an unnamed source familiar with the matter, Bloomberg reports the service will start in early <b>December</b>, and will operate under ... General Motors, and <b>Mercedes</b>-Benz parent Daimler. But if other companies take the same gradual approach as Waymo ...",Waymo will launch its commercial autonomous ridesharing service in <b>December</b>,https://www.digitaltrends.com/cars/waymo-commercial-autonomous-ridesharing-service-launch-date-report/,digitaltrends.com,2018-11-13T15:58:00.0000000Z
12,"Oh, how time flew by. The <b>December</b> school holidays arriveth soon, and with the hectic end-of-year plans for outings come reduced Electronic Road Price (ERP) rates that’ll go into effect from Nov 17 onwards. The Land Transport Authority (LTA) yesterday ...","ERP rates slashed by up to $1 during <b>December</b> school holiday period, starting Nov 17",https://www.msn.com/en-sg/news/singapore/erp-rates-slashed-by-up-to-dollar1-during-december-school-holiday-period-starting-nov-17/ar-BBPDKp3?li=AAAHpny,Coconuts,2018-11-13T02:56:00.0000000Z
13,"(October 30, 2018) The new <b>Mercedes</b>-AMG A 35 4MATIC is now available for order. The heart of the agile entry-level model into the world of Driving Performance is the newly developed 2.0-liter four-cylinder turbo engine with an output of 306 hp. High ...",<b>Mercedes</b>-AMG A 35 4MATIC to be available in Europe in <b>December</b>,http://www.motorwayamerica.com/news/mercedes-amg-35-4matic-be-available-europe-december,motorwayamerica.com,2018-10-30T00:00:00.0000000Z
