,description,headline,url,provider,date
0,"<b>General</b> <b>Motors</b> has revealed that its Maven peer-to-peer car-sharing ... Smart Is Ditching Gasoline Engines In Europe Next Year Customers in Germany have until <b>March</b> 31, 2019 to order a gasoline-powered Smart as the company will go full-electric from ...",GM’s Maven Car-Sharing Fleet To Expand And Include Non-GM Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
1,"In <b>March</b>, an Uber-owned AV going 40 mph in Tempe ... Uber suspended testing nationwide. <b>General</b> <b>Motors</b> President Dan Ammann calls developing AVs that can navigate through urban traffic &quot;the ...",When will self-driving cars take over?,https://theweek.com/articles/807864/when-selfdriving-cars-take-over,THE WEEK,2018-11-17T11:08:00.0000000Z
2,"Sakamoto said later that the company’s business is expanding, so she’s planning to increase the local workforce of about 350 to 450 by <b>March</b>. The distribution ... their parents felt the stress when <b>General</b> <b>Motors</b> and associated employers shut down ...",Dollar <b>General</b> boosts another Janesville school,https://www.gazettextra.com/news/business/dollar-general-boosts-another-janesville-school/article_d1e3f905-e807-59ae-ac99-1f20928f6c42.html,Janesville Gazette,2018-11-16T21:23:00.0000000Z
3,"The move comes as Tesla and <b>General</b> <b>Motors</b> are lobbying government officials to extend ... Musk noted in a Twitter post that, “Probably some deliveries in <b>March</b>, but April is more certain,” after being asked when the deliveries in China would start.",Tesla Promises Model 3 Delivery by Dec. 31 to Meet Tax Deadline,http://www.thedetroitbureau.com/2018/11/tesla-promises-model-3-delivery-by-dec-31-to-meet-tax-deadline/,TheDetroitBureau,2018-11-16T16:55:00.0000000Z
4,"Competition includes <b>General</b> <b>Motors</b> and its Cruise Automation subsidiary and Uber ... prototype cars struck and killed a pedestrian in Tempe, Arizona, this past <b>March</b>. MORE: Google’s Waymo gets approval to test self-driving cars on California roads ...",Google&#39;s Waymo to launch driverless taxi service in two months,https://www.thecarconnection.com/news/1119971_googles-waymo-to-launch-driverless-taxi-service-in-two-months,The Car Connection,2018-11-16T13:53:00.0000000Z
5,"A big pile of debt comes due at Tesla <b>March</b> 1 – $920 million worth ... One way to boost sales: Tesla has joined <b>General</b> <b>Motors</b> and Nissan to lobby Congress for an extension of the $7,500 federal tax credit on electric-car purchases, which begins running ...",Tesla might make $920 million in debt go away,http://www.rep-am.com/news/news-business/2018/11/15/tesla-might-make-920-million-in-debt-go-away/,Republican-American,2018-11-16T02:41:00.0000000Z
6,"One way to boost sales: Tesla has joined <b>General</b> <b>Motors</b> and Nissan to lobby Congress for an extension ... “If the stock is below $359.87 by <b>March</b> 1, when the bonds mature, then holders probably will want cash and the bond will just mature for cash.”",How Elon Musk might make $920 million in Tesla debt go away,http://www.latimes.com/business/autos/la-fi-hy-tesla-convertible-bonds-20181115-story.html,Los Angeles Times,2018-11-15T21:00:00.0000000Z
7,"Top <b>General</b> Counsels from The Hershey Company, Infosys, <b>General</b> <b>Motors</b>, Parsons Corporation ... robust conversations at Ethisphere’s 11th Annual Global Ethics Summit on <b>March</b> 13-14, 2019, at the Grand Hyatt in New York City. Among the standout leadership ...",An Ethical View From Legal Experts Raising the Corporate Bar,http://www.digitaljournal.com/pr/4028452,Digital Journal,2018-11-15T13:10:00.0000000Z
8,"<b>General</b> <b>Motors</b> is expected to launch a state-of-the-art V-8 engine called the Blackwing. Unsurprisingly enough, there has been much hullabaloo about the upcoming motor as of late. GM first detailed the (then-unnamed) Blackwing in <b>March</b>, noting that it will ...",The <b>General</b> <b>Motors</b> Blackwing V-8: Everything We Know so Far,http://www.thedrive.com/news/24917/the-general-motors-blackwing-v-8-everything-we-know-so-far,The Drive,2018-11-14T21:51:00.0000000Z
9,"The Design Museum, London, in partnership with IKEA Museum Almhult, presents “Home Futures,” through <b>March</b> 24, 2019 ... House of the Future (1956), original footage from the <b>General</b> <b>Motors</b> Kitchen of Tomorrow (1956), Home Environment by Ettore ...","‘Home Futures’ at the Design Museum, London",https://hk.blouinartinfo.com/news/story/3367569/home-futures-at-the-design-museum-london,hk.blouinartinfo.com,2018-11-14T09:53:00.0000000Z
10,"It also included four of the world&#39;s major automobile manufacturers BMW, Ford, <b>General</b> <b>Motors</b> and Renault. In mid-<b>March</b>, the company partnered German logistics company DHL to develop a blockchain-based working prototype to benefit the logistics industry ...",Accenture Uses Digital Asset&#39;s Blockchain Platform To Manage Software Licenses,http://www.rttnews.com/2954655/accenture-uses-digital-asset-s-blockchain-platform-to-manage-software-licenses.aspx,RTTNews,2018-11-13T13:31:00.0000000Z
