,description,headline,url,provider,date
0,"The quarter witnessed robust <b>performance</b> across all new full-size trucks and crossovers ... Also, the company is raising investment in emerging markets to boost global sales.” Get <b>General</b> <b>Motors</b> alerts: GM has been the topic of a number of other reports.",<b>General</b> <b>Motors</b> (GM) Raised to Buy at Zacks Investment Research,https://theenterpriseleader.com/2018/11/17/general-motors-gm-raised-to-buy-at-zacks-investment-research.html,theenterpriseleader.com,2018-11-18T00:00:00.0000000Z
1,"<b>General</b> <b>Motors</b> has revealed that its Maven peer-to-peer car-sharing ... November 17, 2018 at 4:03 pm Alfa Romeo Stelvio Quadrifoglio Sprints To 170 Mph Very, Very Fast With a 503 <b>HP</b> from the Ferrari-tuned V6 and all-wheel drive, it can humble many sports ...",GM’s Maven Car-Sharing Fleet To Expand And Include Non-GM Models,https://www.carscoops.com/2018/11/gms-maven-car-sharing-fleet-expand-include-non-gm-models/,Carscoops,2018-11-17T21:57:00.0000000Z
2,"The quarter witnessed robust <b>performance</b> across all new full-size trucks and crossovers ... Also, the company is raising investment in emerging markets to boost global sales.” Get <b>General</b> <b>Motors</b> alerts: GM has been the topic of several other reports.",<b>General</b> <b>Motors</b> (GM) Cut to Hold at Zacks Investment Research,https://www.themarketsdaily.com/2018/11/16/general-motors-gm-cut-to-hold-at-zacks-investment-research.html,themarketsdaily.com,2018-11-17T00:30:00.0000000Z
3,"<b>Performance</b> Variants, Parts and Motorsports at <b>General</b> <b>Motors</b>. “The original COPO Camaro program was all about pushing the envelope, and this concept is an exploration with the very same spirit.” Just as the original 1969 COPO Camaro models relied on ...","Electric Dragster, Solar Roof Car Highlight Las Vegas Show",https://www.powerelectronics.com/automotive/electric-dragster-solar-roof-car-highlight-las-vegas-show,Power Electronics,2018-11-16T22:34:00.0000000Z
4,"Freightliner Custom Chassis Corp. A <b>General</b> <b>Motors</b>-sourced 6.0L V-8 will power Class 4 and Class 5 FE Gas models. In all models, the gasoline engine will turn out 297 <b>hp</b> and 361 lb.-ft. of torque. The gasoline engine will be paired with an Allison 1000 ...",What&#39;s New in Medium Duty,https://www.truckinginfo.com/319517/whats-new-in-medium-duty,Truckinginfo,2018-11-16T20:58:00.0000000Z
5,"The site was formerly home to RMR Corporation, a manufacturer of fractional-<b>horsepower</b> electric <b>motors</b> that commonly power household ... voted 3-0 to approve the concept plan for the Dollar <b>General</b> and the storage facility site, with the conditions that ...","Dollar <b>General</b>, storage facility planned for former RMR plant",https://www.cecildaily.com/business/dollar-general-storage-facility-planned-for-former-rmr-plant/article_282a61a0-5285-57ab-bb86-bce5a3067263.html,The Cecil Whig,2018-11-16T20:04:00.0000000Z
6,"<b>General</b> <b>Motors</b> vehicles with forward collision warning (FCW ... as the industry as a whole gained more experience and shared this experience, the <b>performance</b> of the systems got better,” Wilkinson wrote. “I can’t imagine that forward automatic ...",New Study Shows Automatic Braking Significantly Reduces Crashes and Injuries,https://www.consumerreports.org/automotive-technology/automatic-braking-reduces-car-crashes-injuries-iihs-study/,Consumer Reports,2018-11-15T23:46:00.0000000Z
7,View original content to download multimedia:http://www.prnewswire.com/news-releases/c-4-analytics-now-participating-in-the-<b>general</b>-<b>motors</b>-dealer-digital-solution-digital-advertising-program-300751457.html,C-4 Analytics Now Participating in the <b>General</b> <b>Motors</b> Dealer Dig - KXXV Central Texas News Now,http://www.kxxv.com/story/39489215/c-4-analytics-now-participating-in-the-general-motors-dealer-digital-solution-digital-advertising-program,KXXV News Channel 25,2018-11-15T18:06:00.0000000Z
8,"Streamlined packages each offering full service solutions for sales and fixed ops A single, managed monthly fee with cap <b>Performance</b> accountability ... c-4-analytics-now-participating-in-the-<b>general</b>-<b>motors</b>-dealer-digital-solution-digital-advertising ...",C-4 Analytics Now Participating in the <b>General</b> <b>Motors</b> Dealer Digital Solution Digital Advertising Program,https://www.tmcnet.com/usubmit/-c-4-analytics-now-participating-the-general-motors-/2018/11/15/8853551.htm,TMCnet,2018-11-15T17:32:00.0000000Z
9,"For <b>General</b> <b>Motors</b>, it was the release of their 1988 trucks that stood ... the company redesigned them from the ground up for better economy, handling, <b>performance</b>, and comfort. In reality, they could have stuck with the old stuff for a while but they ...",Retro Review: This Look Back At Motor Week’s Drive Of The The New 1988 Chevy Cheyenne Is Great,https://bangshift.com/general-news/videos/new-1988-chevy-cheyenne/,BangShift,2018-11-15T17:07:00.0000000Z
