,description,headline,url,provider,date
0,"The Renault Kwid is the only affordable hatchback currently which has made an impact on Alto and Celerio sales. The SUV inspired hatchback comes with good engines, good mileage and better than segment features. No wonder why it became a success ever since ...","Honda Civic to <b>Toyota</b> Corolla: 6 hassle-free, used luxury <b>cars</b> at the price of a Renault Kwid",https://www.cartoq.com/honda-civic-to-toyota-corolla-6-hassle-free-used-luxury-cars-at-the-price-of-a-renault-kwid/,cartoq.com,2018-11-18T05:16:00.0000000Z
1,"DETROIT — Ford, <b>Toyota</b>, General <b>Motors</b> and Nissan received strong ratings in the Rainbow PUSH Coalition&#39;s 2018 Automotive Diversity Scorecard released this month. The coalition also praised Hyundai, which has vaulted to No. 4 in the industry in minority ...","Ford, <b>Toyota</b> recognized for commitment to diversity",http://www.autonews.com/article/20181118/RETAIL07/181119752/ford-toyota-rainbow-push-diversity,Automotive News,2018-11-18T05:06:00.0000000Z
2,<b>Toyota</b>’s overnight leader Ott Tanak also had a mathematical chance of taking the title but the Estonian’s chances were scuppered when he slid off a gravel track made slippery by rain and hit a ...,Ogier seals sixth successive world title in Australia,https://uk.reuters.com/article/uk-motor-rally-australia/ogier-seals-sixth-successive-world-title-in-australia-idUKKCN1NN01B?feedType=RSS&feedName=sportsNews,Reuters,2018-11-18T05:01:00.0000000Z
3,"<b>TOYOTA</b> is making a statement, and it wants Australia’s performance-hungry car buyers to pay attention. The statement is that the company has its mojo back, and it’s called Gazoo. Forget the daggy whitegoods <b>Toyota</b> of the last decade, Gazoo stands for ...",What the Gazoo Racing Australia team means for <b>Toyota</b>’s performance <b>cars</b>,https://www.msn.com/en-nz/motoring/news/what-the-gazoo-racing-australia-team-means-for-toyota%e2%80%99s-performance-cars/ar-BBPE2cH?li=BBqd5YO,Wheels Magazine,2018-11-13T09:34:00.0000000Z
4,"The #2 <b>Toyota</b> Camry would total ~63,000 ... One final interesting note to make is that two of the five <b>cars</b> most traded in for the Model 3 have been the Civic and the Accord.",CleanTechnica Forecast: Tesla Model 3 Will Be #2 Top Selling Light Vehicle In California In 2018,https://cleantechnica.com/2018/11/17/cleantechnica-forecast-tesla-model-3-will-be-2-top-selling-light-vehicle-in-california-in-2018/,CleanTechnica,2018-11-18T02:12:00.0000000Z
5,"The 12.9-inch rotor front brakes are nearly an inch larger than the standard brakes on the regular XSE grade <b>cars</b>, and double up to dual-piston calipers. The body kits include a new front splitter, side aero skirts, a trunk lid spoiler, and rear diffuser.",<b>Toyota</b> Camry and Avalon TRDs are enthusiast-focused Toyotas,http://techkenyot.com/2018/11/18/toyota-camry-and-avalon-trds-are-enthusiast-focused-toyotas/,techkenyot.com,2018-11-17T23:40:00.0000000Z
6,"The 12.9-inch rotor front brakes are nearly an inch larger than the standard brakes on the regular XSE grade <b>cars</b>, and double up to dual-piston calipers. <b>Toyota</b> Safety Sense-P - which includes pre-collision braking and other driver assistance tech - will ...","BMW X6, 2020 Buick LaCrosse, 2020 <b>Toyota</b> Camry TRD",http://alhubeco.com/2018/11/18/bmw-x6-2020-buick-lacrosse-2020-toyota-camry-trd/,alhubeco.com,2018-11-17T23:14:00.0000000Z
7,"The 12.9-inch rotor front brakes are nearly an inch larger than the standard brakes on the regular XSE grade <b>cars</b>, and double up to dual-piston calipers. Supersonic Red, Windchill Pearl, Celestial Silver Metallic, and Midnight Black Metallic are your ...",<b>Toyota</b> Avalon And Camry TRD Pack 301HP And A Track-Tuned Suspension,http://iphonefresh.com/2018/11/18/toyota-avalon-and-camry-trd-pack-301hp-and-a-track-tuned.html,iphonefresh.com,2018-11-17T22:39:00.0000000Z
8,"Mail Online - 22:01 PM GMT November 10, 2018 The stereotypes are behind you! A modern twist on festive shows The Guardian - 16:00 PM GMT November 17, 2018 2020 <b>Toyota</b> Camry and Avalon TRD seek to shed stodgy stereotypes - Roadshow CNET News - 17:08 ...","&#39;Women love shopping, men like <b>cars</b>&#39;: DR MICHAEL MOSLEY on the truth behind those gender stereotypes",https://www.newsoneplace.com/7954811809/dr-michael-mosley-women-shopping-gender-stereotypes,newsoneplace.com,2018-11-17T22:20:00.0000000Z
9,"Investors interested in electric <b>cars</b> have a variety of options ... Some major automakers, such as <b>Toyota</b>, are investing heavily in electric vehicles and allow investors to choose both traditional and electric vehicles for their investments.",The Best Way to Get Exposure to Electric <b>Cars</b> When Investing in the Automotive Sector,https://www.investopedia.com/ask/answers/041515/what-best-way-get-exposure-electric-cars-when-investing-automotive-sector.asp,Investopedia,2018-11-17T21:53:00.0000000Z
10,"This review uses applicable research and data from all model years of the current <b>Toyota</b> Land Cruiser generation, which runs from 2008 to 2019. U.S. News &amp; World Report has been reviewing <b>cars</b>, trucks, and SUVs since 2007, and our Best <b>Cars</b> team has more ...",2019 <b>Toyota</b> Land Cruiser,https://cars.usnews.com/cars-trucks/toyota/land-cruiser,cars.usnews.com,2018-11-17T21:44:00.0000000Z
11,"The <b>Toyota</b> Land Cruiser is one of the large SUVs that can give ... but neither will it have you blowing by other <b>cars</b>. This vehicle often feels like it lumbers along, unable to move with any urgency. This Lexus gets poor fuel economy even by the lax ...",2019 Lexus LX,https://cars.usnews.com/cars-trucks/lexus/lx,cars.usnews.com,2018-11-17T21:44:00.0000000Z
12,"Police say a 2017 Jeep Wrangler driven by Bradley Martz ran a flashing red light and struck a <b>Toyota</b> SUV. Police say both <b>cars</b> were disabled when a third vehicle, a Hyundai SUV, struck the jeep and also became disabled. According to the Maryland State ...",Man Arrested for DUI After Three Car Crash in Centreville,http://www.wboc.com/story/39500753/man-arrested-for-dui-after-fleeing-three-car-crash-in-centreville,WBOC,2018-11-17T21:37:00.0000000Z
13,"Styling changes for the <b>cars</b> is part-and-parcel to the performance tuning market. Both the full-sized Avalon and the midsized Camry already saw some sport-themed changes with their XSE and SE variants. To improve upon that, <b>Toyota</b>’s TRD arm took the ...",<b>Toyota</b> Camry and Avalon get the TRD treatment,http://www.newfoxy.com/2018/11/17/toyota-camry-and-avalon-get-the-trd-treatment/,newfoxy.com,2018-11-17T18:23:00.0000000Z
14,"Everybody will see that from the time ‑‑ Mr. Ford sitting to your left will tell you that, as well, as well as everybody at Ford <b>Motor</b> Company. It’s a huge pride point for us as an automotive company, as with Chevy and <b>Toyota</b>, but especially with our ...",Ford Performance NASCAR: Mark Rushbrook OEM Transcript,http://www.speedwaymedia.com/2018/11/17/ford-performance-nascar-mark-rushbrook-oem-transcript/,SpeedwayMedia,2018-11-17T18:09:00.0000000Z
15,"Like every automaker that’s worth its salt, <b>Toyota</b>’s bottom line is the most important thing the company has to take care of. And, with the U.S. car market experiencing a shift in demand the likes of which we haven’t seen in a long time, the Japanese ...",Here Are the <b>Cars</b> <b>Toyota</b> Might Kill Off,https://www.topspeed.com/cars/car-news/here-are-the-cars-toyota-might-kill-off-ar183366.html,Top Speed,2018-11-17T17:15:00.0000000Z
16,"Several automakers discussed or hinted at the <b>cars</b> they will show at this month&#39;s LA auto show. Subaru will bring the new Crosstrek Hybrid, which California documents show certainly won&#39;t have a range higher than 25 miles. <b>Toyota</b> hinted at a new hybrid ...","Tesla Model 3s, electric pickup, LA debuts, and wind power: The Week in Reverse",https://www.greencarreports.com/news/1119991_tesla-model-3s-electric-pickup-la-debuts-and-wind-power-the-week-in-reverse,Green Car Reports,2018-11-17T16:45:00.0000000Z
17,"“Used <b>cars</b> can look good but still have problems that could be expensive to fix,” said Brandon Grade, Service Advisor at Findlay <b>Toyota</b> in Las Vegas, Nevada. “Personally, I try and steer people towards a certified pre-owned vehicle that comes with a ...",Best Time To Buy A Car? The Holiday Season Might Be One,https://www.automoblog.net/2018/11/17/automoblog-depth-holidays-good-time-buy-car/,Automoblog.net,2018-11-17T16:30:00.0000000Z
18,"But Alonso says he feels the small edge <b>Toyota</b> displayed in Shanghai qualifying was “artificial” because of the way the hybrid system is used, and that without this the privateer <b>cars</b> are now quicker over a lap. “I have already seen that they [the ...",Alonso: Privateer LMP1s now &quot;much faster&quot; than <b>Toyota</b>,https://www.msn.com/en-us/sports/motorsports/alonso-privateer-lmp1s-now-much-faster-than-toyota/ar-BBPO8R7,motorsport.com,2018-11-17T15:08:00.0000000Z
19,"and why the <b>Toyota</b> RAV4, Nissan Altima, VW Jetta, Hyundai Kona, Volvo S60, Jeep Wrangler and Jag I-Pace made cut. Check out this story on Freep.com: https://www.freep.com/story/money/<b>cars</b>/mark-phelan/2018/11/17/nactoy-finalists-vote/2008865002/ I just cast ...","Here&#39;s how I voted for car, truck and utility of the year",https://www.freep.com/story/money/cars/mark-phelan/2018/11/17/nactoy-finalists-vote/2008865002/,Detroit Free Press,2018-11-17T12:51:00.0000000Z
20,"<b>Toyota</b> Gazoo Racing locked out the front row of the grid for ... Further back, Aston Martin and Porsche both managed to get <b>cars</b> into the top four, the No. 97 Vantage AMR taking third, and the No. 92 911 RSR taking fourth. However, not all the ...",No. 7 <b>Toyota</b> takes Shanghai pole,https://racer.com/2018/11/17/no-7-toyota-takes-shanghai-pole/,Racer,2018-11-17T12:42:00.0000000Z
21,"The new <b>Toyota</b> Corolla Sedan offers a combined 90kW of power from a four-cylinder petrol engine and two electric <b>motor</b>-generators, for claimed fuel use figures of just 4.2L/100km. When it does launch here, the executive sedan will stack up against ...",All-new <b>Toyota</b> Corolla revealed,http://infositehub.com/2018/11/16/all-new-toyota-corolla-revealed.html,infositehub.com,2018-11-17T11:59:00.0000000Z
22,"For the Chinese market, <b>Toyota</b> and its partners, Tianjian FAW <b>Toyota</b> <b>Motor</b> and GAC <b>Toyota</b> <b>Motor</b> will be selling two versions of the new sedan concurrently - Corolla will be sold by FAW <b>Toyota</b> while Levin will be sold by GAC <b>Toyota</b>. Sedan powertrain options ...",<b>Toyota</b> Corolla sedan gets a bold new look in its 12th generation,http://nhltradereport.com/2018/11/17/toyota-corolla-sedan-gets-a-bold-new-look-in-its-12th.html,NHL Trade Report,2018-11-17T06:09:00.0000000Z
23,"<b>TOYOTA</b> has lifted the lid on the sedan version of its new-generation Corolla small vehicle, with two different versions breaking cover at the Guanzhou <b>motor</b> show in China. Information released by the committee indicates the report assesses the role wood ...",Meet the new (twelfth-generation) <b>Toyota</b> Corolla sedan!,http://2016carsreview.net/2018/11/meet-the-new-twelfth-generation-toyota-corolla-sedan/,2016carsreview.net,2018-11-17T05:32:00.0000000Z
24,"While the wheelbase is unchanged at 2 700 mm, <b>Toyota</b> says the vehicle&#39;s height (1 435 mm) has been cut by as much as 45 mm. A six-speed manual is standard in lower-grade <b>cars</b>, but the engine can also be paired with a continuously-variable transmission ...",<b>Toyota</b> to start mass production of its new hybrid auto in Turkey,http://booktour.tips/2018/11/toyota-to-start-mass-production-of-its-new-hybrid-auto-in/,booktour.tips,2018-11-17T05:12:00.0000000Z
25,"<b>Toyota</b> <b>Motor</b> Corp. and Mazda <b>Motor</b> Corp. said Friday they have started building a new $1.6 billion car plant in Huntsville, Alabama with an eye on starting operations in 2021 and creating up to 4,000 jobs. The new factory will have the capacity to produce ...","<b>Toyota</b>, Mazda begin building new joint plant in Alabama",https://english.kyodonews.net/news/2018/11/5711f9e149dc-toyota-mazda-begin-building-new-16-bil-plant-in-alabama.html,kyodonews.net,2018-11-17T01:16:00.0000000Z
26,"Instead, owners of mass market <b>cars</b> such as the Honda Accord and <b>Toyota</b> Prius are opening their wallets for the sedan, signaling that the vehicle is pushing Tesla beyond its luxury niche and more into the mainstream. The Model 3 is the key to Musk’s goal ...",Tesla&#39;s Model 3 sedan is pulling in buyers who previously owned Accords and Priuses,http://www.latimes.com/business/la-fi-tesla-buyers-stretch-20181116-story.html,Los Angeles Times,2018-11-17T01:00:00.0000000Z
27,"Nov. 1: Subaru, <b>Toyota</b> recall 165,000 U.S. <b>cars</b> with engine-stalling defect Oct. 25: Ford recalls 1.5 million Ford Focus <b>cars</b> that could stall Oct. 23: BMW expands recall to 1.6 million vehicles worldwide over fire risk In October, Ford issued a ...","Ford recalls new Explorer, Expedition, Navigator, Nautilus, Super Duty",https://www.usatoday.com/story/money/cars/2018/11/16/ford-recall-explorer-expedition-super-duty/2032177002/,USA Today,2018-11-17T00:50:00.0000000Z
28,"(CNN) - In the nearly four years since Microsoft introduced its HoloLens augmented-reality headset, consumers have largely forgotten about it. But now it&#39;s gaining traction among an unlikely audience: car makers. <b>Toyota</b> is one of a growing number of auto ...",<b>Toyota</b> is using Microsoft&#39;s HoloLens to build <b>cars</b> faster,https://www.clickondetroit.com/tech/toyota-is-using-microsofts-hololens-to-build-cars-faster,clickondetroit.com,2018-11-16T21:50:00.0000000Z
